@relation training_keyboard_score3-weka.filters.unsupervised.attribute.Remove-R7

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,-3,Stop
99999,99999,6,8,-1,-4,Stop
99999,99999,6,8,-2,-5,East
99999,5,5,7,-3,-6,East
99999,4,6,6,-4,-7,East
7,5,7,5,-5,-8,South
6,4,6,4,-6,-9,South
5,3,5,3,-7,-10,South
4,2,4,2,-8,189,South
3,3,3,1,-9,188,West
2,2,2,0,-10,187,West
99999,13,15,13,189,186,South
14,12,14,12,188,185,South
13,11,13,11,187,184,West
12,10,12,10,186,183,South
11,99999,11,9,185,182,West
10,99999,10,8,184,181,West
9,99999,9,7,183,180,West
99999,99999,8,6,182,179,West
5,99999,7,5,181,178,West
4,99999,6,4,180,177,North
3,5,5,3,179,176,North
2,4,4,2,178,375,North
99999,3,3,1,177,374,West
99999,2,2,0,176,373,West
99999,21,21,19,375,372,West
18,20,20,18,374,371,West
17,19,19,19,373,370,North
16,18,18,18,372,369,North
15,17,17,17,371,368,North
14,16,16,16,370,367,North
13,15,15,15,369,366,North
12,14,99999,14,368,365,North
11,13,99999,13,367,364,North
10,12,99999,12,366,363,North
99999,11,9,11,365,362,East
99999,99999,8,10,364,361,East
99999,99999,7,9,363,360,East
99999,99999,6,8,362,359,East
99999,99999,5,7,361,358,East
99999,4,6,6,360,357,South
5,3,5,99999,359,356,South
4,99999,4,2,358,555,West
99999,99999,3,1,357,554,West
99999,99999,2,0,356,553,West
99999,99999,7,99999,555,552,East
99999,99999,6,8,554,551,East
99999,99999,5,7,553,550,East
6,99999,4,6,552,549,East
5,99999,3,5,551,548,East
99999,99999,6,8,0,-3,Stop
99999,99999,5,7,-1,-4,Stop
99999,99999,6,8,-2,-5,East
99999,6,6,8,-3,-6,East
99999,6,6,8,-4,-7,South
6,4,4,6,-5,-8,South
5,3,3,5,-6,-9,East
5,3,3,5,-7,-10,South
4,2,2,4,-8,-11,West
4,2,2,99999,-9,-12,Stop
5,3,3,99999,-10,-13,South
4,2,2,4,-11,-14,South
2,4,2,4,-12,-15,South
4,6,4,6,-13,-16,East
2,4,4,4,-14,-17,East
2,4,4,2,-15,-18,North
2,4,4,2,-16,-19,North
3,3,3,1,-17,-20,West
3,1,3,1,-18,-21,West
3,1,3,1,-19,-22,West
99999,1,3,3,-20,177,South
3,1,3,3,-21,176,South
2,0,2,2,-22,175,South
10,99999,10,8,177,174,West
9,99999,9,7,176,173,West
9,99999,9,7,175,172,West
8,99999,8,6,174,171,West
99999,99999,6,4,173,170,West
2,99999,4,4,172,169,North
