@relation 'training_tutorial1_score5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
99999,99999,6,8,0,99999,East,-5
99999,5,5,7,-1,99999,South,-6
6,4,4,99999,-2,99999,South,193
5,99999,3,5,-3,99999,East,192
4,2,4,4,-4,99999,South,191
3,1,3,99999,-5,99999,South,190
2,2,2,0,-6,99999,West,189
99999,13,15,13,193,99999,South,188
14,12,14,12,192,99999,South,187
13,11,13,11,191,99999,South,186
12,99999,12,10,190,99999,West,185
11,99999,11,9,189,99999,West,184
10,99999,10,8,188,99999,West,183
9,99999,9,7,187,99999,West,182
99999,99999,8,6,186,99999,West,181
5,99999,7,5,185,99999,North,180
4,6,99999,4,184,99999,North,379
3,5,99999,3,183,99999,North,378
99999,4,99999,2,182,99999,West,377
99999,3,3,1,181,99999,West,376
99999,2,2,0,180,99999,West,375
99999,21,21,19,379,99999,West,374
18,20,20,18,378,99999,North,373
17,19,99999,17,377,99999,North,372
16,18,18,16,376,99999,North,371
15,17,17,15,375,99999,North,370
99999,16,16,14,374,99999,West,369
13,15,15,15,373,99999,North,368
12,14,99999,14,372,99999,North,367
11,13,99999,13,371,99999,North,366
10,12,99999,12,370,99999,North,365
99999,11,9,11,369,99999,East,364
99999,99999,8,10,368,99999,East,363
99999,99999,7,9,367,99999,East,362
99999,99999,6,8,366,99999,East,361
99999,99999,5,7,365,99999,East,360
99999,4,6,6,364,99999,South,559
5,3,5,99999,363,99999,South,558
4,99999,4,2,362,99999,West,557
99999,99999,3,1,361,99999,West,556
99999,99999,2,0,360,99999,West,555
99999,99999,7,99999,559,99999,East,554
99999,99999,6,8,558,99999,East,553
99999,99999,5,7,557,99999,East,552
99999,99999,6,8,0,99999,East,-5
99999,5,5,7,-1,99999,South,-6
7,5,5,99999,-2,99999,South,-7
6,99999,4,6,-3,99999,East,-8
6,4,6,6,-4,99999,South,-9
4,2,4,99999,-5,99999,South,190
4,2,4,2,-6,99999,South,189
3,3,3,1,-7,99999,West,188
3,1,3,1,-8,99999,South,187
3,3,3,1,-9,99999,West,186
12,10,12,10,190,99999,South,185
12,99999,12,10,189,99999,West,184
12,99999,12,10,188,99999,West,183
12,99999,12,10,187,99999,West,182
99999,99999,12,10,186,99999,West,181
9,99999,11,9,185,99999,North,180
7,9,99999,7,184,99999,North,179
7,7,99999,5,183,99999,West,178
5,7,7,5,182,99999,North,177
99999,7,7,5,181,99999,West,176
99999,5,7,5,180,99999,South,175
6,6,6,4,179,99999,West,174
4,6,6,4,178,99999,North,173
99999,5,5,3,177,99999,West,172
4,4,4,2,176,99999,West,171
2,4,4,2,175,99999,North,170
2,4,4,2,174,99999,North,169
3,3,3,1,173,99999,West,368
3,1,3,1,172,99999,South,367
1,3,3,1,171,99999,North,366
3,1,3,1,170,99999,South,365
2,2,2,0,169,99999,West,364
16,18,16,99999,368,99999,North,363
14,16,14,99999,367,99999,North,362
14,16,14,99999,366,99999,North,361
14,16,14,99999,365,99999,North,360
13,15,13,99999,364,99999,North,359
11,13,11,99999,363,99999,North,358
9,11,9,99999,362,99999,North,357
99999,10,8,99999,361,99999,East,356
99999,9,7,9,360,99999,East,355
99999,8,6,8,359,99999,East,354
99999,99999,6,8,358,99999,East,353
99999,99999,6,8,357,99999,East,352
99999,99999,4,6,356,99999,East,351
99999,99999,3,5,355,99999,East,550
2,4,2,4,0,7,North,195
1,3,1,3,-1,8,North,194
2,2,0,2,-2,9,East,193
7,5,7,7,197,8,South,192
6,4,6,6,196,7,South,391
5,3,5,5,195,6,South,390
4,2,4,4,194,5,South,389
3,1,3,3,193,6,South,388
2,0,2,2,192,7,South,387
9,9,9,7,391,8,West,386
8,8,8,6,390,9,West,385
7,7,7,5,389,10,West,384
6,6,6,4,388,11,West,583
5,5,5,3,387,12,West,582
4,4,4,2,386,13,West,581
3,3,3,1,385,14,West,580
2,2,2,0,384,15,West,579
7,9,7,9,583,16,North,578
6,8,6,8,582,15,North,577
5,7,5,7,581,14,North,576
2,4,2,4,0,7,North,195
1,3,1,3,-1,8,North,194
2,2,0,2,-2,9,East,193
7,5,5,6,197,8,South,192
6,4,4,6,196,7,South,191
6,4,4,6,195,6,South,390
4,2,2,4,194,5,South,389
4,2,2,4,193,6,South,388
4,4,2,4,192,7,East,387
2,2,0,2,191,6,East,386
11,12,13,11,390,5,North,385
9,11,11,9,389,4,North,384
7,9,9,7,388,3,North,383
7,7,7,5,387,4,West,382
7,5,7,5,386,5,South,381
5,5,5,3,385,4,West,380
3,5,5,3,384,5,North,379
5,3,5,3,383,6,South,578
3,5,5,3,382,5,North,577
3,3,3,1,381,6,West,576
3,1,3,1,380,7,South,575
1,3,3,1,379,6,North,574
12,10,12,10,578,7,South,573
12,10,12,10,577,6,South,572
12,10,12,10,576,7,South,571
12,10,12,10,575,8,South,570
11,11,11,9,574,9,West,569
9,9,9,7,573,10,West,568
8,8,8,6,572,11,West,567
8,8,8,6,571,12,West,566
8,8,8,6,570,13,West,565
8,6,8,6,569,14,South,564
6,6,6,4,568,15,West,563
6,6,6,4,567,16,West,562
4,6,6,4,566,17,North,561
4,6,6,4,565,16,North,560
4,4,4,2,564,15,West,559
99999,11,11,13,0,2,South,395
12,10,10,12,-1,1,East,494
11,9,9,11,98,1,East,593
10,8,8,10,197,1,East,692
9,7,7,9,296,1,South,791
8,6,6,8,395,1,South,890
7,5,5,7,494,1,East,989
6,4,4,6,593,1,East,1188
5,3,3,5,692,1,East,1287
4,2,2,4,791,1,South,1386
3,1,1,3,890,1,East,1485
2,0,2,2,989,1,South,1484
7,5,7,5,1188,1,West,1483
6,4,6,4,1287,1,South,1682
5,3,5,3,1386,1,West,1781
4,2,4,4,1485,1,South,1880
3,1,3,3,1484,1,South,1979
2,0,2,2,1483,1,South,2078
18,99999,18,20,1682,1,East,2177
17,99999,17,19,1781,1,North,2176
16,18,16,18,1880,1,East,2275
15,17,15,17,1979,1,East,2374
14,16,14,16,2078,1,North,2373
13,15,13,15,2177,1,North,2472
12,14,12,14,2176,1,North,2571
11,13,11,13,2275,1,North,2570
10,12,10,12,2374,2,North,2569
9,11,9,11,2373,1,North,2568
8,10,8,10,2472,1,North,2567
7,9,7,9,2571,1,North,2566
99999,8,6,8,2570,2,East,2665
99999,7,5,7,2569,3,East,2764
99999,6,4,6,2568,2,East,2963
99999,5,3,5,2567,1,East,3062
99999,4,2,4,2566,1,East,3161
99999,3,1,3,2665,1,East,3260
99999,2,0,2,2764,2,East,3359
99999,5,5,7,2963,1,East,3458
99999,11,11,13,0,2,South,395
13,11,11,13,-1,1,East,494
11,9,9,11,98,1,East,593
10,8,8,10,197,1,East,692
9,7,7,9,296,1,South,791
8,6,6,8,395,1,South,890
6,4,6,6,494,1,South,889
6,4,6,4,593,1,West,988
6,4,6,6,692,1,South,1087
6,4,6,4,791,1,West,1386
5,3,5,5,890,1,South,1485
5,3,3,5,889,1,South,1584
3,1,1,3,988,1,East,1683
2,0,2,2,1087,1,South,1782
10,12,10,12,1386,1,East,1881
8,10,8,10,1485,1,North,1980
6,8,6,8,1584,1,North,2079
8,8,6,8,1683,1,East,2078
8,8,6,8,1782,1,East,2077
6,8,6,8,1881,1,East,2076
6,8,6,8,1980,1,North,2175
8,6,6,8,2079,1,South,2174
6,6,4,6,2078,1,East,2173
6,6,4,6,2077,1,East,2272
4,6,4,6,2076,1,North,2571
4,4,2,4,2175,1,East,2670
4,4,2,4,2174,2,East,2769
3,3,1,3,2173,1,East,2968
3,1,1,3,2272,1,East,2967
3,5,3,5,2571,1,East,3066
3,5,3,5,2670,1,North,3165
3,3,1,3,2769,1,East,3264
9,7,7,9,2968,1,South,3263
99999,6,6,99999,0,14,South,-5
7,5,99999,99999,-1,13,South,-6
6,6,4,99999,-2,12,East,193
99999,5,3,5,-3,11,East,192
99999,4,2,4,-4,10,East,191
99999,3,1,3,-5,9,East,190
2,2,0,2,-6,8,East,389
3,5,5,5,193,7,North,388
2,4,99999,4,192,8,North,387
99999,3,1,3,191,9,East,386
99999,99999,0,2,190,8,East,385
99999,99999,10,11,389,7,East,384
99999,99999,9,11,388,6,East,383
99999,8,8,10,387,5,South,382
9,7,7,99999,386,4,South,381
8,7,6,7,385,3,East,380
7,99999,5,7,384,4,East,379
99999,4,4,6,383,3,South,578
5,3,3,99999,382,4,South,577
4,99999,2,99999,381,3,East,576
3,99999,1,3,380,4,East,575
2,0,2,2,379,3,South,574
10,8,99999,99999,578,4,South,573
9,9,9,7,577,5,West,572
99999,8,8,6,576,4,West,571
99999,99999,7,5,575,3,West,570
99999,6,6,99999,0,14,South,-5
7,5,99999,99999,-1,13,South,-6
5,5,3,99999,-2,12,East,393
99999,4,2,4,-3,11,East,392
99999,4,2,4,-4,10,East,391
99999,4,2,4,-5,9,East,390
0,2,2,2,-6,8,North,389
12,10,10,99999,393,9,South,388
12,10,10,12,392,8,South,387
10,8,8,10,391,7,South,386
9,99999,7,9,390,6,East,385
