@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,-1,Stop
99999,99999,6,8,-1,-2,Stop
99999,99999,6,8,-2,-3,Stop
99999,99999,6,8,-3,-4,East
99999,5,5,7,-4,-5,East
99999,4,6,6,-5,-6,South
5,3,5,5,-6,-7,South
4,2,4,4,-7,-8,South
3,1,3,99999,-8,-9,South
2,2,2,0,-9,190,West
99999,13,15,13,190,189,South
14,12,14,12,189,188,South
13,11,13,11,188,187,West
12,10,12,10,187,186,West
11,9,11,9,186,185,West
10,8,10,99999,185,184,Stop
10,8,10,99999,184,183,South
9,99999,9,7,183,182,Stop
9,99999,9,7,182,181,Stop
9,99999,9,7,181,180,West
99999,99999,8,6,180,179,West
5,99999,7,5,179,178,North
4,6,99999,4,178,177,North
3,5,99999,3,177,176,West
2,4,4,2,176,175,West
1,3,3,1,175,174,North
99999,2,2,0,174,373,West
99999,21,21,19,373,372,West
18,20,20,18,372,371,West
17,19,19,19,371,370,North
16,18,18,18,370,369,North
15,17,17,17,369,368,North
14,16,16,16,368,367,North
13,15,15,15,367,366,North
12,14,99999,14,366,365,North
11,13,99999,13,365,364,North
10,12,99999,12,364,363,North
99999,11,9,11,363,362,East
99999,99999,8,10,362,361,East
99999,99999,7,9,361,360,East
99999,99999,6,8,360,359,East
99999,99999,5,7,359,358,East
99999,4,6,6,358,357,South
5,3,5,99999,357,356,South
4,99999,4,2,356,355,West
99999,99999,3,1,355,354,West
99999,99999,2,0,354,553,West
99999,99999,7,99999,553,552,East
99999,99999,6,8,552,551,East
99999,99999,5,7,551,550,East
6,99999,4,6,550,549,East
5,99999,3,5,549,548,East
4,99999,2,4,548,547,East
99999,99999,1,3,547,546,East
99999,99999,7,9,-1,-2,Stop
99999,99999,6,8,-2,-3,East
99999,6,6,8,-3,-4,East
99999,5,7,7,-4,-5,East
7,5,7,5,-5,-6,South
7,5,7,5,-6,-7,South
7,5,7,5,-7,-8,South
5,3,5,3,-8,-9,South
4,2,4,2,-9,-10,South
2,4,4,2,-10,-11,West
2,2,2,0,-11,188,West
16,14,16,14,188,187,West
16,14,16,14,187,186,West
14,12,14,12,186,185,South
14,12,14,12,185,184,West
13,11,13,99999,184,183,Stop
13,11,13,99999,183,182,South
11,99999,11,9,182,181,West
99999,99999,11,9,181,180,West
9,99999,11,9,180,179,West
7,99999,9,7,179,178,North
7,9,9,7,178,177,North
5,7,7,5,177,176,West
3,5,5,3,176,175,West
2,4,4,2,175,174,West
1,3,3,3,174,173,North
1,3,3,3,173,172,North
1,3,99999,1,172,371,North
13,15,15,13,371,370,North
11,13,13,11,370,369,West
11,13,13,13,369,368,West
12,14,12,14,368,367,North
10,12,10,12,367,366,North
9,11,9,11,366,365,North
9,11,9,11,365,364,North
7,9,7,9,364,363,East
6,8,99999,8,363,362,Stop
6,8,99999,8,362,361,Stop
5,7,99999,7,361,360,North
99999,6,4,6,360,359,East
99999,99999,2,4,359,358,East
99999,99999,2,4,358,357,East
99999,99999,1,3,357,356,East
99999,99999,1,3,356,355,East
99999,0,1,2,355,554,East
99999,2,4,2,554,553,South
2,0,2,2,553,552,West
4,2,2,99999,552,551,Stop
4,2,2,99999,551,550,South
2,99999,2,4,550,549,East
2,4,2,4,0,-1,Stop
2,4,2,4,-1,-2,Stop
2,4,2,4,-2,-3,East
1,3,3,3,-3,-4,North
0,2,2,2,-4,195,North
7,5,7,7,195,194,West
