@RELATION 'training_keyboard_score3'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,-3,99999,Stop
99999,99999,6,8,-1,-4,99999,Stop
99999,99999,6,8,-2,-5,99999,East
99999,5,5,7,-3,-6,99999,East
99999,4,6,6,-4,-7,99999,East
7,5,7,5,-5,-8,99999,South
6,4,6,4,-6,-9,99999,South
5,3,5,3,-7,-10,99999,South
4,2,4,2,-8,189,99999,South
3,3,3,1,-9,188,99999,West
2,2,2,0,-10,187,99999,West
99999,13,15,13,189,186,99999,South
14,12,14,12,188,185,99999,South
13,11,13,11,187,184,99999,West
12,10,12,10,186,183,99999,South
11,99999,11,9,185,182,99999,West
10,99999,10,8,184,181,99999,West
9,99999,9,7,183,180,99999,West
99999,99999,8,6,182,179,99999,West
5,99999,7,5,181,178,99999,West
4,99999,6,4,180,177,99999,North
3,5,5,3,179,176,99999,North
2,4,4,2,178,375,99999,North
99999,3,3,1,177,374,99999,West
99999,2,2,0,176,373,99999,West
99999,21,21,19,375,372,99999,West
18,20,20,18,374,371,99999,West
17,19,19,19,373,370,99999,North
16,18,18,18,372,369,99999,North
15,17,17,17,371,368,99999,North
14,16,16,16,370,367,99999,North
13,15,15,15,369,366,99999,North
12,14,99999,14,368,365,99999,North
11,13,99999,13,367,364,99999,North
10,12,99999,12,366,363,99999,North
99999,11,9,11,365,362,99999,East
99999,99999,8,10,364,361,99999,East
99999,99999,7,9,363,360,99999,East
99999,99999,6,8,362,359,99999,East
99999,99999,5,7,361,358,99999,East
99999,4,6,6,360,357,99999,South
5,3,5,99999,359,356,99999,South
4,99999,4,2,358,555,99999,West
99999,99999,3,1,357,554,99999,West
99999,99999,2,0,356,553,99999,West
99999,99999,7,99999,555,552,99999,East
99999,99999,6,8,554,551,99999,East
99999,99999,5,7,553,550,99999,East
6,99999,4,6,552,549,99999,East
5,99999,3,5,551,548,99999,East
99999,99999,6,8,0,-3,99999,Stop
99999,99999,5,7,-1,-4,99999,Stop
99999,99999,6,8,-2,-5,99999,East
99999,6,6,8,-3,-6,99999,East
99999,6,6,8,-4,-7,99999,South
6,4,4,6,-5,-8,99999,South
5,3,3,5,-6,-9,99999,East
5,3,3,5,-7,-10,99999,South
4,2,2,4,-8,-11,99999,West
4,2,2,99999,-9,-12,99999,Stop
5,3,3,99999,-10,-13,99999,South
4,2,2,4,-11,-14,99999,South
2,4,2,4,-12,-15,99999,South
4,6,4,6,-13,-16,99999,East
2,4,4,4,-14,-17,99999,East
2,4,4,2,-15,-18,99999,North
2,4,4,2,-16,-19,99999,North
3,3,3,1,-17,-20,99999,West
3,1,3,1,-18,-21,99999,West
3,1,3,1,-19,-22,99999,West
99999,1,3,3,-20,177,99999,South
3,1,3,3,-21,176,99999,South
2,0,2,2,-22,175,99999,South
10,99999,10,8,177,174,99999,West
9,99999,9,7,176,173,99999,West
9,99999,9,7,175,172,99999,West
8,99999,8,6,174,171,99999,West
99999,99999,6,4,173,170,99999,West
2,99999,4,4,172,169,99999,North
2,4,99999,2,171,368,99999,North
2,4,99999,2,170,367,99999,North
99999,2,99999,0,169,366,99999,West
99999,22,22,20,368,365,99999,West
99999,20,20,18,367,364,99999,West
99999,18,18,16,366,363,99999,West
16,18,18,16,365,362,99999,West
15,17,17,17,364,361,99999,North
15,17,17,17,363,360,99999,North
13,15,15,15,362,359,99999,North
11,13,13,13,361,358,99999,North
10,12,12,12,360,357,99999,North
9,11,99999,11,359,356,99999,North
8,10,99999,10,358,355,99999,North
7,9,99999,9,357,354,99999,North
99999,8,6,8,356,353,99999,East
99999,99999,5,7,355,352,99999,East
99999,99999,4,6,354,351,99999,East
99999,99999,2,4,353,350,99999,East
99999,99999,1,3,352,349,99999,East
99999,1,1,3,351,348,99999,East
99999,1,2,1,350,347,99999,East
99999,2,3,1,349,346,99999,South
2,0,99999,2,348,345,99999,West
2,0,2,2,347,344,99999,West
1,1,1,99999,346,343,99999,Stop
1,0,2,99999,345,542,99999,East
1,2,2,0,344,541,99999,North
99999,0,2,0,343,540,99999,West
99999,0,2,2,542,539,99999,West
99999,99999,2,4,541,538,99999,East
2,4,2,4,0,-3,7,Stop
2,4,2,4,-1,-4,7,Stop
2,4,2,4,-2,195,7,East
1,3,3,3,-3,194,6,North
0,2,2,2,-4,193,7,North
7,5,7,7,195,192,8,West
8,6,6,6,194,191,9,West
7,7,7,5,193,190,10,West
6,6,6,4,192,189,11,West
5,5,5,3,191,188,12,West
4,4,4,2,190,387,13,West
3,3,3,1,189,386,14,West
2,2,2,0,188,385,15,West
9,7,7,9,387,384,16,East
8,6,8,8,386,383,15,South
7,5,7,7,385,382,14,South
6,4,6,99999,384,381,13,South
5,3,5,3,383,380,12,West
99999,2,4,4,382,379,13,West
99999,3,3,5,381,378,14,South
4,2,2,4,380,577,15,South
3,1,1,3,379,576,16,South
2,2,0,2,378,575,17,East
9,9,7,9,577,574,16,East
8,8,6,8,576,573,15,East
7,7,5,7,575,572,14,East
6,6,4,6,574,571,13,East
5,5,3,5,573,570,12,East
2,4,2,4,0,-3,7,Stop
2,4,2,4,-1,-4,7,Stop
1,3,1,3,-2,-5,7,East
1,3,3,1,-3,-6,6,North
3,3,3,1,-4,-7,7,West
2,2,2,0,-5,-8,8,West
2,2,2,0,-6,-9,9,West
2,0,2,2,-7,-10,10,West
2,1,1,3,-8,-11,11,West
3,2,2,4,-9,-12,12,North
1,2,1,3,-10,-13,13,North
3,1,1,3,-11,-14,14,North
99999,1,3,3,-12,-15,15,East
99999,1,3,1,-13,-16,14,South
1,3,3,1,-14,-17,13,South
1,3,3,3,-15,-18,12,West
1,3,1,3,-16,181,13,West
1,3,1,3,-17,180,14,East
0,2,2,2,-18,179,13,North
9,7,7,9,181,178,14,North
99999,9,9,11,180,177,15,East
99999,9,9,11,179,176,14,East
99999,9,9,11,178,175,13,East
99999,8,8,10,177,174,12,South
10,8,8,10,176,173,11,South
9,7,7,9,175,172,10,South
9,7,7,9,174,171,9,South
7,5,5,7,173,170,8,East
7,5,5,7,172,169,7,East
7,5,5,5,171,168,6,South
5,3,5,5,170,367,5,South
5,3,3,3,169,366,6,South
3,1,3,3,168,365,7,South
3,1,1,3,367,564,8,South
3,3,1,3,366,563,9,East
2,2,0,2,365,562,8,East
7,5,7,5,564,561,7,East
7,5,7,5,563,560,6,West
7,5,7,5,562,559,7,West
7,5,7,5,561,558,8,West
6,4,6,4,560,557,9,West
4,2,4,2,559,556,10,West
4,2,4,2,558,555,11,South
99999,11,11,13,0,-3,2,Stop
99999,11,11,13,-1,-4,2,Stop
99999,11,11,13,-2,95,2,East
99999,10,10,12,-3,194,1,East
99999,9,9,11,-4,293,1,East
99999,8,8,10,95,392,1,East
99999,7,7,9,194,491,1,East
99999,6,6,8,293,590,1,East
99999,5,5,7,392,689,1,South
6,4,4,6,491,688,1,South
5,3,3,5,590,687,1,South
4,2,2,4,689,786,1,East
3,1,3,3,688,885,1,East
4,2,4,2,687,1084,1,South
3,1,3,1,786,1183,1,South
2,2,2,0,885,1282,2,West
7,5,7,5,1084,1381,1,West
6,4,6,4,1183,1480,1,South
5,3,5,3,1282,1579,1,South
4,2,4,2,1381,1778,1,South
3,1,3,1,1480,1777,1,South
2,99999,2,0,1579,1776,2,West
18,99999,18,20,1778,1875,1,East
17,99999,17,19,1777,1974,2,East
16,99999,16,18,1776,2073,1,North
15,17,15,17,1875,2072,1,North
14,16,14,16,1974,2071,1,East
13,15,13,15,2073,2170,1,East
12,14,12,14,2072,2269,2,East
11,13,11,13,2071,2368,1,East
10,12,10,12,2170,2467,1,East
9,11,9,11,2269,2566,1,East
8,10,8,10,2368,2665,1,North
7,9,7,9,2467,2764,1,North
6,8,6,8,2566,2863,1,North
5,7,5,7,2665,2962,1,North
4,6,4,6,2764,3061,1,North
3,5,3,5,2863,3160,1,North
2,4,2,4,2962,3359,1,North
99999,3,1,3,3061,3458,1,East
99999,2,0,2,3160,3557,2,East
99999,5,5,7,3359,3656,1,East
99999,4,4,6,3458,3755,1,South
5,3,3,5,3557,3854,1,South
99999,11,11,13,0,-3,2,Stop
99999,10,10,12,-1,96,2,East
99999,9,9,11,-2,195,1,East
99999,7,7,9,-3,294,1,East
99999,5,5,7,96,393,1,East
99999,5,7,5,195,492,1,East
99999,7,9,7,294,591,1,East
99999,8,10,8,393,690,1,South
9,7,9,7,492,789,1,South
9,7,8,7,591,888,1,South
8,7,8,7,690,987,1,South
7,5,7,5,789,1086,1,South
7,5,7,5,888,1185,1,South
5,3,5,3,987,1284,1,West
3,1,3,3,1086,1383,1,West
5,3,3,4,1185,1482,1,West
5,3,3,3,1284,1581,1,South
5,3,3,3,1383,1680,1,South
3,1,3,1,1482,1679,1,West
3,1,1,3,1581,1678,1,West
3,1,1,3,1680,1677,1,West
3,3,1,3,1679,1876,2,South
3,99999,1,3,1678,1975,2,East
3,99999,1,3,1677,2074,2,East
5,99999,5,7,1876,2073,1,East
3,99999,3,5,1975,2272,1,East
1,99999,3,3,2074,2271,2,East
1,99999,3,3,2073,2270,1,North
14,16,14,16,2272,2269,1,North
13,15,13,15,2271,2268,1,West
13,15,13,15,2270,2267,2,West
14,16,14,16,2269,2366,1,East
13,15,13,15,2268,2465,2,East
11,13,11,13,2267,2564,1,East
11,13,11,13,2366,2563,1,East
10,12,10,12,2465,2562,1,East
8,10,8,10,2564,2661,1,East
8,10,8,10,2563,2760,2,East
8,10,8,10,2562,2859,1,East
6,8,6,8,2661,2958,1,East
4,6,4,6,2760,3057,1,East
4,6,4,6,2859,3156,1,North
4,5,3,5,2958,3255,1,East
2,4,3,4,3057,3254,1,East
2,4,2,2,3156,3453,1,East
3,2,2,3,3255,3452,1,East
2,2,0,2,3254,3451,1,East
3,5,5,3,3453,3450,1,East
5,7,99999,5,3452,3449,2,West
3,5,5,3,3451,3448,1,West
3,5,5,3,3450,3447,1,West
3,5,5,3,3449,3446,1,West
2,4,4,2,3448,3445,2,West
2,4,4,2,3447,3544,2,North
2,4,4,2,3446,3643,1,North
2,4,4,2,3445,3742,1,West
2,4,2,4,3544,3841,1,North
0,2,2,2,3643,3840,1,North
2,2,0,2,3742,3839,1,North
3,1,1,3,3841,3838,1,East
3,1,3,1,3840,3837,1,East
3,3,3,1,3839,3836,1,South
1,3,3,1,3838,3835,1,West
1,3,3,1,3837,3934,1,West
1,3,3,1,3836,3933,1,North
3,1,3,1,3835,4032,1,North
99999,2,4,2,3934,4131,1,West
99999,2,4,2,3933,4130,1,South
2,0,2,2,4032,4129,1,South
2,2,0,2,4131,4228,1,South
1,3,1,3,4130,4227,1,East
1,3,3,3,4129,4226,1,East
1,3,3,3,4228,4325,1,North
1,3,3,3,4227,4324,2,North
1,3,1,3,4226,4423,1,North
99999,2,0,2,4325,4422,2,East
99999,0,2,2,4324,4521,1,East
99999,2,4,2,4423,4620,1,East
99999,6,6,99999,0,-3,14,Stop
99999,6,6,99999,-1,-4,14,Stop
99999,6,6,99999,-2,-5,14,Stop
99999,6,6,99999,-3,-6,14,East
99999,99999,5,7,-4,-7,13,East
99999,99999,4,6,-5,-8,12,East
99999,99999,3,5,-6,-9,11,East
99999,2,2,4,-7,190,10,East
99999,1,1,3,-8,189,9,East
99999,99999,0,2,-9,188,8,East
99999,99999,5,3,190,187,7,West
99999,99999,4,2,189,386,8,West
99999,1,3,3,188,385,9,South
2,0,99999,2,187,384,8,South
9,7,7,9,386,383,7,East
99999,6,6,8,385,382,6,East
99999,5,7,7,384,381,5,South
6,4,6,6,383,380,4,South
5,3,5,5,382,379,3,South
4,2,4,99999,381,578,2,South
3,3,3,1,380,577,3,West
99999,2,2,0,379,576,4,West
99999,10,8,10,578,575,5,East
99999,9,7,9,577,574,4,East
8,8,6,8,576,573,3,East
7,7,5,7,575,572,2,East
6,6,4,6,574,571,1,East
99999,5,3,5,573,570,2,East
99999,6,6,99999,0,-3,14,Stop
99999,6,6,99999,-1,-4,14,East
99999,99999,4,6,-2,-5,13,East
99999,99999,3,5,-3,-6,12,East
99999,99999,2,4,-4,193,11,East
99999,4,2,4,-5,192,10,East
99999,3,1,3,-6,191,9,East
99999,99999,7,5,193,190,8,East
99999,99999,7,7,192,189,7,West
99999,99999,7,5,191,188,8,West
99999,5,7,7,190,187,9,South
7,5,99999,7,189,186,8,South
6,4,4,6,188,185,7,South
5,3,3,5,187,184,6,East
3,3,1,3,186,183,5,East
1,3,1,3,185,182,4,East
1,3,3,1,184,181,3,East
3,5,99999,3,183,380,2,Stop
2,4,99999,2,182,379,2,West
1,3,3,1,181,378,3,West
8,6,8,8,380,377,4,North
99999,8,8,10,379,376,5,Stop
99999,9,9,11,378,375,5,East
99999,9,7,9,377,374,4,South
8,10,8,10,376,373,3,South
8,10,8,8,375,372,2,South
8,10,10,8,374,371,1,South
10,10,8,8,373,370,2,West
9,9,8,7,372,369,3,West
99999,7,7,5,371,368,4,West
99999,7,7,5,370,367,5,West
99999,5,5,3,369,566,6,West
99999,3,3,1,368,565,7,West
99999,2,2,0,367,564,8,West
99999,16,14,16,566,563,9,West
16,18,16,99999,565,562,10,East
99999,17,15,17,564,561,9,East
99999,15,13,15,563,560,8,East
99999,13,11,13,562,559,7,East
99999,13,11,13,561,558,6,East
99999,13,11,13,560,557,5,East
99999,11,9,11,559,556,4,East
9,11,9,11,558,655,3,East
8,10,8,10,557,654,2,East
6,8,8,8,556,653,1,North
6,8,99999,8,655,652,8,North
6,8,99999,8,654,651,7,North
99999,99999,29,30,0,197,1,Stop
99999,99999,29,30,-1,296,1,East
28,99999,30,30,98,395,1,North
27,29,99999,99999,197,494,1,North
99999,28,26,99999,296,593,1,East
99999,99999,25,27,395,692,1,East
99999,99999,24,26,494,791,1,East
23,99999,99999,25,593,890,1,North
22,24,99999,99999,692,989,1,North
21,23,99999,99999,791,1088,1,North
99999,22,20,22,890,1187,1,East
99999,99999,19,21,989,1286,1,East
99999,99999,18,20,1088,1385,1,East
17,19,99999,19,1187,1484,1,North
16,18,99999,99999,1286,1583,1,North
15,17,99999,99999,1385,1682,1,North
14,16,16,14,1484,1781,1,North
13,15,99999,99999,1583,1880,1,North
12,14,99999,99999,1682,1879,1,North
11,13,99999,99999,1781,1878,1,North
12,12,12,10,1880,1877,1,West
99999,99999,11,9,1879,1876,2,West
8,10,10,99999,1878,1875,3,North
7,9,99999,99999,1877,1874,2,North
99999,8,99999,6,1876,1873,2,West
99999,99999,7,5,1875,1872,3,West
99999,99999,6,4,1874,1871,3,West
99999,99999,5,3,1873,1870,3,West
4,99999,4,2,1872,2069,3,West
99999,1,3,2,1871,2268,4,South
2,0,99999,1,1870,2267,5,South
2,99999,2,0,2069,2266,5,West
4,99999,3,2,2268,2465,5,West
99999,99999,3,1,2267,2464,4,West
99999,99999,2,0,2266,2463,4,West
99999,99999,6,99999,2465,2462,4,East
99999,99999,5,7,2464,2461,4,East
99999,99999,4,6,2463,2460,4,East
5,99999,3,5,2462,2459,5,East
99999,99999,29,30,0,197,1,Stop
99999,99999,30,30,-1,296,1,East
28,99999,30,30,98,395,1,North
28,30,99999,99999,197,494,1,North
99999,29,27,99999,296,593,1,East
99999,99999,26,28,395,692,1,East
99999,99999,25,27,494,791,1,East
25,99999,99999,27,593,890,1,North
24,26,99999,99999,692,989,1,North
23,25,99999,99999,791,1088,1,North
99999,23,21,23,890,1187,1,East
99999,99999,19,21,989,1286,1,East
99999,99999,18,20,1088,1385,1,East
18,20,99999,20,1187,1484,1,North
16,18,99999,99999,1286,1583,1,North
15,17,99999,99999,1385,1682,1,North
14,16,16,14,1484,1781,1,North
13,15,99999,99999,1583,1880,1,North
13,15,99999,99999,1682,1879,1,North
12,14,99999,99999,1781,1878,1,North
14,14,14,12,1880,1877,1,West
99999,99999,12,10,1879,1876,2,West
8,10,10,99999,1878,1875,3,North
6,8,99999,99999,1877,1874,2,North
99999,6,99999,4,1876,1873,2,West
99999,99999,4,2,1875,1872,3,West
99999,99999,4,2,1874,1871,3,West
99999,99999,4,2,1873,1870,3,West
2,99999,3,1,1872,2169,3,North
0,2,99999,99999,1871,2168,2,North
0,2,99999,99999,1870,2167,1,North
99999,2,4,99999,2169,2166,1,South
4,2,99999,99999,2168,2165,2,South
3,1,99999,99999,2167,2164,3,South
3,99999,1,2,2166,2163,4,West
99999,2,3,2,2165,2362,5,East
3,99999,1,2,2164,2361,4,East
99999,99999,0,2,2163,2360,3,East
99999,99999,5,3,2362,2359,3,West
99999,99999,5,3,2361,2358,3,West
5,99999,5,3,2360,2357,4,West
99999,3,5,3,2359,2556,5,West
99999,1,3,2,2358,2555,4,West
3,99999,1,1,2357,2554,3,West
99999,99999,3,5,2556,2553,3,West
99999,99999,3,5,2555,2552,3,East
99999,99999,1,3,2554,2551,3,East
3,99999,1,3,2553,2550,3,East
