@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
2,4,2,4,-7,North,-8
4,2,2,4,-6,South,-7
3,1,3,99999,-5,South,-6
5,3,3,99999,-5,South,-6
99999,3,1,3,-5,East,-6
99999,99999,3,5,-5,East,-6
4,2,4,4,-4,South,-5
5,3,3,5,-4,South,-5
3,1,1,3,-4,South,-5
99999,4,2,4,-4,East,-5
99999,99999,4,6,-4,East,-5
5,99999,3,5,-3,East,-4
5,99999,3,5,-3,East,-4
3,1,1,3,-3,South,-4
99999,5,3,5,-3,East,-4
99999,99999,5,7,-3,East,-4
6,4,4,99999,-2,South,-3
5,3,3,99999,-2,South,-3
3,3,1,3,-2,East,-3
6,6,4,99999,-2,East,-3
99999,7,5,99999,-2,East,-3
99999,5,5,7,-1,South,-2
99999,5,5,7,-1,South,-2
1,3,1,3,-1,North,-2
1,3,1,3,-1,North,-2
7,5,99999,99999,-1,South,-2
6,6,99999,99999,-1,North,-2
99999,99999,6,8,0,East,-1
99999,99999,6,8,0,East,-1
2,4,2,4,0,North,-1
2,4,2,4,0,North,-1
99999,11,11,13,0,South,-1
99999,11,11,13,0,South,-1
99999,6,6,99999,0,South,-1
99999,6,6,99999,0,South,-1
12,10,10,12,-1,East,98
12,10,10,12,-1,East,98
99999,99999,29,30,0,East,99
99999,99999,29,30,0,East,99
99999,3,3,1,181,West,180
3,99999,5,3,181,North,180
99999,4,99999,2,182,West,181
99999,99999,5,3,182,West,181
3,5,99999,3,183,North,182
7,99999,7,5,183,West,182
4,6,99999,4,184,North,183
7,99999,7,5,184,West,183
5,99999,7,5,185,North,184
7,99999,7,5,185,West,184
4,4,2,4,185,East,184
99999,99999,8,6,186,West,185
7,99999,7,5,186,West,185
99999,2,2,4,186,South,185
9,99999,9,7,187,West,186
9,99999,9,7,187,West,186
2,4,2,4,187,North,186
10,99999,10,8,188,West,187
11,99999,11,9,188,West,187
99999,2,2,4,188,South,187
11,99999,11,9,189,West,188
13,11,13,11,189,South,188
2,4,2,4,189,North,188
12,99999,12,10,190,West,189
15,13,15,13,190,South,189
4,4,2,4,190,East,189
13,11,13,11,191,South,190
16,14,16,14,191,South,190
3,1,1,3,191,South,190
99999,3,1,3,191,East,190
4,2,2,4,191,South,190
14,12,14,12,192,South,191
2,2,0,2,-8,East,191
5,3,3,5,192,South,191
2,4,99999,4,192,North,191
4,2,99999,4,192,South,191
99999,13,15,13,193,South,192
3,1,3,3,193,South,192
7,5,5,7,193,South,192
3,5,5,5,193,North,192
99999,4,6,6,193,South,192
2,2,2,0,-6,West,193
4,2,4,4,194,South,193
7,5,7,7,194,South,193
2,2,0,2,-6,East,193
99999,3,1,3,-6,East,193
5,3,5,5,195,South,194
1,3,1,3,-5,North,194
6,4,6,6,196,South,195
7,5,7,7,197,South,196
2,2,0,2,-2,East,197
11,9,9,11,98,East,197
12,10,10,12,98,East,197
28,99999,30,30,99,North,198
28,99999,30,30,99,North,198
10,8,8,10,197,East,296
11,9,9,11,197,East,296
27,29,99999,99999,198,North,297
28,30,99999,99999,198,North,297
4,99999,2,4,357,East,356
4,99999,2,4,358,East,357
4,3,3,99999,359,South,358
99999,3,3,5,360,South,359
99999,99999,3,1,361,West,360
99999,99999,4,6,361,East,360
4,99999,4,2,362,West,361
99999,99999,4,6,362,East,361
5,3,5,99999,363,South,362
99999,99999,6,8,363,East,362
99999,4,6,6,364,South,363
99999,99999,6,8,364,East,363
99999,99999,5,7,365,East,364
99999,8,6,8,365,East,364
99999,99999,6,8,366,East,365
8,10,99999,10,366,North,365
99999,99999,7,9,367,East,366
8,10,99999,10,367,North,366
99999,99999,8,10,368,East,367
9,11,99999,11,368,North,367
99999,11,9,11,369,East,368
9,11,11,11,369,North,368
10,12,99999,12,370,North,369
99999,11,11,9,370,West,369
11,13,99999,13,371,North,370
11,13,13,11,371,North,370
12,14,99999,14,372,North,371
13,15,15,13,372,North,371
99999,4,4,2,372,West,371
13,15,15,15,373,North,372
13,15,99999,13,373,North,372
99999,5,5,3,373,West,372
99999,16,16,14,374,West,373
14,16,16,14,374,North,373
99999,7,7,5,374,West,373
15,17,17,15,375,North,374
99999,18,18,16,375,West,374
99999,9,9,7,375,West,374
16,18,18,16,376,North,375
99999,18,18,16,376,West,375
9,11,11,9,376,North,375
17,19,99999,17,377,North,376
99999,20,20,18,377,West,376
11,11,11,9,377,West,376
18,20,20,18,378,North,377
19,21,21,19,378,North,377
9,11,11,9,378,North,377
99999,21,21,19,379,West,378
19,21,21,19,379,North,378
9,11,11,9,379,North,378
99999,2,2,0,180,West,379
3,3,99999,1,180,West,379
10,12,12,10,380,North,379
3,99999,1,3,380,East,379
10,11,12,10,381,North,380
4,99999,2,99999,381,East,380
11,13,13,11,382,North,381
5,3,3,99999,382,South,381
9,7,7,8,382,South,381
11,13,13,11,383,North,382
99999,4,4,6,383,South,382
10,8,8,8,383,South,382
13,11,13,11,384,South,383
7,99999,5,7,384,East,383
2,2,0,2,184,East,383
3,3,3,1,385,West,384
13,13,13,11,385,West,384
8,7,6,7,385,East,384
4,4,4,2,386,West,385
13,13,13,11,386,West,385
9,7,7,99999,386,South,385
5,5,5,3,387,West,386
11,13,13,11,387,North,386
99999,8,8,10,387,South,386
6,6,6,4,388,West,387
11,13,13,11,388,North,387
99999,99999,9,11,388,East,387
7,7,7,5,389,West,388
13,11,13,11,389,South,388
99999,99999,10,11,389,East,388
8,8,8,6,390,West,389
2,2,0,2,190,East,389
99999,99999,0,2,190,East,389
9,9,9,7,391,West,390
2,0,2,2,192,South,391
9,7,7,9,296,South,395
9,7,7,9,296,South,395
99999,28,26,99999,297,East,396
99999,29,27,99999,297,East,396
2,99999,2,4,471,North,470
4,99999,2,99999,472,East,471
6,4,4,99999,473,South,472
4,99999,4,99999,474,North,473
6,4,4,99999,475,South,474
99999,4,4,6,476,South,475
99999,99999,4,6,477,East,476
99999,6,4,6,478,East,477
6,6,4,6,479,East,478
8,6,99999,8,480,South,479
9,7,7,7,381,East,480
8,6,6,8,395,South,494
9,7,7,9,395,South,494
99999,99999,25,27,396,East,495
99999,99999,27,29,396,East,495
