@relation 'training_tutorial1_score3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
99999,99999,6,8,0,99999,East,-3
99999,5,5,7,-1,99999,South,-4
6,4,4,99999,-2,99999,South,-5
5,99999,3,5,-3,99999,East,-6
4,2,4,4,-4,99999,South,193
3,1,3,99999,-5,99999,South,192
2,2,2,0,-6,99999,West,191
99999,13,15,13,193,99999,South,190
14,12,14,12,192,99999,South,189
13,11,13,11,191,99999,South,188
12,99999,12,10,190,99999,West,187
11,99999,11,9,189,99999,West,186
10,99999,10,8,188,99999,West,185
9,99999,9,7,187,99999,West,184
99999,99999,8,6,186,99999,West,183
5,99999,7,5,185,99999,North,182
4,6,99999,4,184,99999,North,181
3,5,99999,3,183,99999,North,180
99999,4,99999,2,182,99999,West,379
99999,3,3,1,181,99999,West,378
99999,2,2,0,180,99999,West,377
99999,21,21,19,379,99999,West,376
18,20,20,18,378,99999,North,375
17,19,99999,17,377,99999,North,374
16,18,18,16,376,99999,North,373
15,17,17,15,375,99999,North,372
99999,16,16,14,374,99999,West,371
13,15,15,15,373,99999,North,370
12,14,99999,14,372,99999,North,369
11,13,99999,13,371,99999,North,368
10,12,99999,12,370,99999,North,367
99999,11,9,11,369,99999,East,366
99999,99999,8,10,368,99999,East,365
99999,99999,7,9,367,99999,East,364
99999,99999,6,8,366,99999,East,363
99999,99999,5,7,365,99999,East,362
99999,4,6,6,364,99999,South,361
5,3,5,99999,363,99999,South,360
4,99999,4,2,362,99999,West,559
99999,99999,3,1,361,99999,West,558
99999,99999,2,0,360,99999,West,557
99999,99999,7,99999,559,99999,East,556
99999,99999,6,8,558,99999,East,555
99999,99999,5,7,557,99999,East,554
6,99999,4,6,556,99999,East,553
5,99999,3,5,555,99999,East,552
99999,99999,6,8,0,99999,East,-3
99999,6,6,8,-1,99999,South,-4
8,6,6,99999,-2,99999,South,-5
6,99999,4,6,-3,99999,East,-6
5,3,5,5,-4,99999,South,193
4,2,4,99999,-5,99999,South,192
2,0,2,2,-6,99999,South,191
14,12,14,12,193,99999,South,190
12,10,12,10,192,99999,South,189
10,99999,10,8,191,99999,West,188
9,99999,9,7,190,99999,West,187
8,99999,8,6,189,99999,West,186
6,99999,6,4,188,99999,West,385
5,99999,5,3,187,99999,West,384
99999,99999,3,1,186,99999,West,383
24,99999,24,24,385,99999,North,382
22,24,99999,22,384,99999,North,381
21,23,99999,21,383,99999,North,380
99999,21,99999,19,382,99999,West,379
99999,19,19,17,381,99999,West,378
99999,19,19,17,380,99999,West,377
99999,18,18,16,379,99999,West,376
16,18,18,16,378,99999,North,375
14,16,99999,14,377,99999,North,374
12,14,14,12,376,99999,North,373
12,14,14,12,375,99999,North,372
99999,14,14,12,374,99999,West,371
10,12,12,12,373,99999,North,370
9,11,99999,11,372,99999,North,369
9,11,99999,11,371,99999,North,368
7,9,99999,9,370,99999,North,367
99999,7,5,7,369,99999,East,366
99999,99999,3,5,368,99999,East,365
99999,99999,3,5,367,99999,East,364
99999,99999,3,5,366,99999,East,563
99999,99999,1,3,365,99999,East,562
99999,2,0,2,364,99999,East,561
99999,2,2,4,563,99999,South,560
2,4,2,4,0,7,North,197
1,3,1,3,-1,8,North,196
2,2,0,2,-2,9,East,195
7,5,7,7,197,8,South,194
6,4,6,6,196,7,South,193
5,3,5,5,195,6,South,192
4,2,4,4,194,5,South,391
3,1,3,3,193,6,South,390
2,0,2,2,192,7,South,389
9,9,9,7,391,8,West,388
8,8,8,6,390,9,West,387
7,7,7,5,389,10,West,386
6,6,6,4,388,11,West,385
5,5,5,3,387,12,West,384
4,4,4,2,386,13,West,583
3,3,3,1,385,14,West,582
2,2,2,0,384,15,West,581
7,9,7,9,583,16,North,580
6,8,6,8,582,15,North,579
5,7,5,7,581,14,North,578
99999,6,4,6,580,13,East,577
3,5,5,5,579,12,North,576
2,4,2,4,0,7,North,197
1,3,1,3,-1,8,North,196
7,6,6,5,198,9,West,195
5,5,5,3,197,10,West,194
5,5,5,3,196,11,West,193
5,3,5,3,195,12,South,192
5,5,5,3,194,11,West,191
3,4,5,3,193,12,North,190
4,4,4,2,192,13,West,189
3,3,3,1,191,14,West,388
3,3,3,1,190,15,West,387
2,2,2,0,189,16,West,386
9,7,7,9,388,17,South,385
7,99999,5,7,387,16,East,384
6,99999,4,6,386,15,East,383
4,2,2,4,385,14,South,382
4,2,2,99999,384,13,South,381
2,4,2,4,383,12,North,380
4,4,2,99999,382,13,East,579
3,3,1,3,381,12,East,578
3,3,1,3,380,11,East,577
6,4,4,6,579,10,South,576
4,2,2,4,578,9,South,575
3,3,1,3,577,10,East,574
99999,11,11,13,0,2,South,197
12,10,10,12,-1,1,East,296
11,9,9,11,98,1,East,395
10,8,8,10,197,1,East,494
9,7,7,9,296,1,South,593
8,6,6,8,395,1,South,692
7,5,5,7,494,1,East,791
6,4,4,6,593,1,East,890
5,3,3,5,692,1,East,989
4,2,2,4,791,1,South,1188
3,1,1,3,890,1,East,1287
2,0,2,2,989,1,South,1386
7,5,7,5,1188,1,West,1485
6,4,6,4,1287,1,South,1484
5,3,5,3,1386,1,West,1483
4,2,4,4,1485,1,South,1682
3,1,3,3,1484,1,South,1781
2,0,2,2,1483,1,South,1880
18,99999,18,20,1682,1,East,1979
17,99999,17,19,1781,1,North,2078
16,18,16,18,1880,1,East,2177
15,17,15,17,1979,1,East,2176
14,16,14,16,2078,1,North,2275
13,15,13,15,2177,1,North,2374
12,14,12,14,2176,1,North,2373
11,13,11,13,2275,1,North,2472
10,12,10,12,2374,2,North,2571
9,11,9,11,2373,1,North,2570
8,10,8,10,2472,1,North,2569
7,9,7,9,2571,1,North,2568
99999,8,6,8,2570,2,East,2567
99999,7,5,7,2569,3,East,2566
99999,6,4,6,2568,2,East,2665
99999,5,3,5,2567,1,East,2764
99999,4,2,4,2566,1,East,2963
99999,3,1,3,2665,1,East,3062
99999,2,0,2,2764,2,East,3161
99999,5,5,7,2963,1,East,3260
99999,4,4,6,3062,1,South,3359
5,3,3,5,3161,1,East,3458
99999,11,11,13,0,2,South,197
11,9,9,11,-1,1,East,296
11,9,9,11,98,1,East,395
9,7,7,9,197,1,East,494
7,5,5,7,296,1,South,593
5,3,3,5,395,1,South,892
4,4,2,4,494,1,East,991
2,2,0,2,593,1,East,1090
6,4,4,6,892,1,East,1189
6,4,6,4,991,1,South,1288
6,4,6,4,1090,1,South,1587
4,2,4,2,1189,1,South,1586
2,2,2,0,1288,1,West,1585
11,13,11,13,1587,1,North,1584
11,13,11,13,1586,2,North,1583
11,11,11,13,1585,2,North,1682
9,11,9,11,1584,2,North,1781
9,9,7,9,1583,1,East,1880
7,7,5,7,1682,1,East,1879
6,6,4,6,1781,1,East,1878
6,6,4,6,1880,1,East,1977
6,6,4,6,1879,2,East,2076
4,4,2,4,1878,1,East,2175
4,4,2,4,1977,1,East,2474
2,4,2,4,2076,1,East,2473
99999,6,6,99999,0,14,South,-3
7,5,99999,99999,-1,13,South,-4
6,6,4,99999,-2,12,East,-5
99999,5,3,5,-3,11,East,-6
99999,4,2,4,-4,10,East,193
99999,3,1,3,-5,9,East,192
2,2,0,2,-6,8,East,191
3,5,5,5,193,7,North,190
2,4,99999,4,192,8,North,389
99999,3,1,3,191,9,East,388
99999,99999,0,2,190,8,East,387
99999,99999,10,11,389,7,East,386
99999,99999,9,11,388,6,East,385
99999,8,8,10,387,5,South,384
9,7,7,99999,386,4,South,383
8,7,6,7,385,3,East,382
7,99999,5,7,384,4,East,381
99999,4,4,6,383,3,South,380
5,3,3,99999,382,4,South,379
4,99999,2,99999,381,3,East,578
3,99999,1,3,380,4,East,577
