@relation 'training_tutorial1_score5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
99999,99999,6,8,0,East,-5
99999,5,5,7,-1,South,-6
6,4,4,99999,-2,South,193
5,99999,3,5,-3,East,192
4,2,4,4,-4,South,191
3,1,3,99999,-5,South,190
2,2,2,0,-6,West,189
99999,13,15,13,193,South,188
14,12,14,12,192,South,187
13,11,13,11,191,South,186
12,99999,12,10,190,West,185
11,99999,11,9,189,West,184
10,99999,10,8,188,West,183
9,99999,9,7,187,West,182
99999,99999,8,6,186,West,181
5,99999,7,5,185,North,180
4,6,99999,4,184,North,379
3,5,99999,3,183,North,378
99999,4,99999,2,182,West,377
99999,3,3,1,181,West,376
99999,2,2,0,180,West,375
99999,21,21,19,379,West,374
18,20,20,18,378,North,373
17,19,99999,17,377,North,372
16,18,18,16,376,North,371
15,17,17,15,375,North,370
99999,16,16,14,374,West,369
13,15,15,15,373,North,368
12,14,99999,14,372,North,367
11,13,99999,13,371,North,366
10,12,99999,12,370,North,365
99999,11,9,11,369,East,364
99999,99999,8,10,368,East,363
99999,99999,7,9,367,East,362
99999,99999,6,8,366,East,361
99999,99999,5,7,365,East,360
99999,4,6,6,364,South,559
5,3,5,99999,363,South,558
4,99999,4,2,362,West,557
99999,99999,3,1,361,West,556
99999,99999,2,0,360,West,555
99999,99999,7,99999,559,East,554
99999,99999,6,8,558,East,553
99999,99999,5,7,557,East,552
99999,99999,6,8,0,East,-5
99999,5,5,7,-1,South,-6
7,5,5,99999,-2,South,-7
6,99999,4,6,-3,East,-8
6,4,6,6,-4,South,-9
4,2,4,99999,-5,South,190
4,2,4,2,-6,South,189
3,3,3,1,-7,West,188
3,1,3,1,-8,South,187
3,3,3,1,-9,West,186
12,10,12,10,190,South,185
12,99999,12,10,189,West,184
12,99999,12,10,188,West,183
12,99999,12,10,187,West,182
99999,99999,12,10,186,West,181
9,99999,11,9,185,North,180
7,9,99999,7,184,North,179
7,7,99999,5,183,West,178
5,7,7,5,182,North,177
99999,7,7,5,181,West,176
99999,5,7,5,180,South,175
6,6,6,4,179,West,174
4,6,6,4,178,North,173
99999,5,5,3,177,West,172
4,4,4,2,176,West,171
2,4,4,2,175,North,170
2,4,4,2,174,North,169
3,3,3,1,173,West,368
3,1,3,1,172,South,367
1,3,3,1,171,North,366
3,1,3,1,170,South,365
2,2,2,0,169,West,364
16,18,16,99999,368,North,363
14,16,14,99999,367,North,362
14,16,14,99999,366,North,361
14,16,14,99999,365,North,360
13,15,13,99999,364,North,359
11,13,11,99999,363,North,358
9,11,9,99999,362,North,357
99999,10,8,99999,361,East,356
99999,9,7,9,360,East,355
99999,8,6,8,359,East,354
99999,99999,6,8,358,East,353
99999,99999,6,8,357,East,352
99999,99999,4,6,356,East,351
99999,99999,3,5,355,East,550
2,4,2,4,0,North,195
1,3,1,3,-1,North,194
2,2,0,2,-2,East,193
7,5,7,7,197,South,192
6,4,6,6,196,South,391
5,3,5,5,195,South,390
4,2,4,4,194,South,389
3,1,3,3,193,South,388
2,0,2,2,192,South,387
9,9,9,7,391,West,386
8,8,8,6,390,West,385
7,7,7,5,389,West,384
6,6,6,4,388,West,583
5,5,5,3,387,West,582
4,4,4,2,386,West,581
3,3,3,1,385,West,580
2,2,2,0,384,West,579
7,9,7,9,583,North,578
6,8,6,8,582,North,577
5,7,5,7,581,North,576
2,4,2,4,0,North,195
1,3,1,3,-1,North,194
2,2,0,2,-2,East,193
7,5,5,6,197,South,192
6,4,4,6,196,South,191
6,4,4,6,195,South,390
4,2,2,4,194,South,389
4,2,2,4,193,South,388
4,4,2,4,192,East,387
2,2,0,2,191,East,386
11,12,13,11,390,North,385
9,11,11,9,389,North,384
7,9,9,7,388,North,383
7,7,7,5,387,West,382
7,5,7,5,386,South,381
5,5,5,3,385,West,380
3,5,5,3,384,North,379
5,3,5,3,383,South,578
3,5,5,3,382,North,577
3,3,3,1,381,West,576
3,1,3,1,380,South,575
1,3,3,1,379,North,574
12,10,12,10,578,South,573
12,10,12,10,577,South,572
12,10,12,10,576,South,571
12,10,12,10,575,South,570
11,11,11,9,574,West,569
9,9,9,7,573,West,568
8,8,8,6,572,West,567
8,8,8,6,571,West,566
8,8,8,6,570,West,565
8,6,8,6,569,South,564
6,6,6,4,568,West,563
6,6,6,4,567,West,562
4,6,6,4,566,North,561
4,6,6,4,565,North,560
4,4,4,2,564,West,559
99999,11,11,13,0,South,395
12,10,10,12,-1,East,494
11,9,9,11,98,East,593
10,8,8,10,197,East,692
9,7,7,9,296,South,791
8,6,6,8,395,South,890
7,5,5,7,494,East,989
6,4,4,6,593,East,1188
5,3,3,5,692,East,1287
4,2,2,4,791,South,1386
3,1,1,3,890,East,1485
2,0,2,2,989,South,1484
7,5,7,5,1188,West,1483
6,4,6,4,1287,South,1682
5,3,5,3,1386,West,1781
4,2,4,4,1485,South,1880
3,1,3,3,1484,South,1979
2,0,2,2,1483,South,2078
18,99999,18,20,1682,East,2177
17,99999,17,19,1781,North,2176
16,18,16,18,1880,East,2275
15,17,15,17,1979,East,2374
14,16,14,16,2078,North,2373
13,15,13,15,2177,North,2472
12,14,12,14,2176,North,2571
11,13,11,13,2275,North,2570
10,12,10,12,2374,North,2569
9,11,9,11,2373,North,2568
8,10,8,10,2472,North,2567
7,9,7,9,2571,North,2566
99999,8,6,8,2570,East,2665
99999,7,5,7,2569,East,2764
99999,6,4,6,2568,East,2963
99999,5,3,5,2567,East,3062
99999,4,2,4,2566,East,3161
99999,3,1,3,2665,East,3260
99999,2,0,2,2764,East,3359
99999,5,5,7,2963,East,3458
99999,11,11,13,0,South,395
13,11,11,13,-1,East,494
11,9,9,11,98,East,593
10,8,8,10,197,East,692
9,7,7,9,296,South,791
8,6,6,8,395,South,890
6,4,6,6,494,South,889
6,4,6,4,593,West,988
6,4,6,6,692,South,1087
6,4,6,4,791,West,1386
5,3,5,5,890,South,1485
5,3,3,5,889,South,1584
3,1,1,3,988,East,1683
2,0,2,2,1087,South,1782
10,12,10,12,1386,East,1881
8,10,8,10,1485,North,1980
6,8,6,8,1584,North,2079
8,8,6,8,1683,East,2078
8,8,6,8,1782,East,2077
6,8,6,8,1881,East,2076
6,8,6,8,1980,North,2175
8,6,6,8,2079,South,2174
6,6,4,6,2078,East,2173
6,6,4,6,2077,East,2272
4,6,4,6,2076,North,2571
4,4,2,4,2175,East,2670
4,4,2,4,2174,East,2769
3,3,1,3,2173,East,2968
3,1,1,3,2272,East,2967
3,5,3,5,2571,East,3066
3,5,3,5,2670,North,3165
3,3,1,3,2769,East,3264
9,7,7,9,2968,South,3263
99999,6,6,99999,0,South,-5
7,5,99999,99999,-1,South,-6
6,6,4,99999,-2,East,193
99999,5,3,5,-3,East,192
99999,4,2,4,-4,East,191
99999,3,1,3,-5,East,190
2,2,0,2,-6,East,389
3,5,5,5,193,North,388
2,4,99999,4,192,North,387
99999,3,1,3,191,East,386
99999,99999,0,2,190,East,385
99999,99999,10,11,389,East,384
99999,99999,9,11,388,East,383
99999,8,8,10,387,South,382
9,7,7,99999,386,South,381
8,7,6,7,385,East,380
7,99999,5,7,384,East,379
99999,4,4,6,383,South,578
5,3,3,99999,382,South,577
4,99999,2,99999,381,East,576
3,99999,1,3,380,East,575
2,0,2,2,379,South,574
10,8,99999,99999,578,South,573
9,9,9,7,577,West,572
99999,8,8,6,576,West,571
99999,99999,7,5,575,West,570
99999,6,6,99999,0,South,-5
7,5,99999,99999,-1,South,-6
5,5,3,99999,-2,East,393
99999,4,2,4,-3,East,392
99999,4,2,4,-4,East,391
99999,4,2,4,-5,East,390
0,2,2,2,-6,North,389
12,10,10,99999,393,South,388
12,10,10,12,392,South,387
10,8,8,10,391,South,386
9,99999,7,9,390,East,385
9,99999,7,9,389,East,384
7,99999,5,7,388,East,383
7,5,7,7,387,South,382
6,4,6,99999,386,South,381
6,4,6,4,385,South,580
6,4,6,4,384,South,579
5,99999,5,3,383,West,578
4,99999,4,2,382,West,577
3,99999,3,1,381,West,576
15,99999,15,17,580,North,575
15,17,15,17,579,North,574
99999,15,13,15,578,East,573
99999,15,13,15,577,East,572
99999,15,13,15,576,East,571
11,13,11,13,575,North,570
10,12,10,99999,574,North,569
8,10,8,10,573,North,568
6,8,6,8,572,North,567
99999,8,6,8,571,East,566
99999,8,6,8,570,East,565
7,7,5,7,569,East,564
7,99999,5,7,568,East,563
99999,3,3,5,567,South,562
3,5,3,99999,566,North,561
99999,5,3,5,565,East,560
99999,99999,29,30,0,East,495
28,99999,30,30,99,North,594
27,29,99999,99999,198,North,693
99999,28,26,99999,297,East,792
99999,99999,25,27,396,East,891
99999,99999,24,26,495,East,990
23,99999,99999,25,594,North,1089
22,24,99999,99999,693,North,1188
21,23,99999,99999,792,North,1287
99999,22,20,22,891,East,1386
99999,99999,19,21,990,East,1485
99999,99999,18,20,1089,East,1584
17,19,99999,19,1188,North,1683
16,18,99999,99999,1287,North,1682
15,17,99999,99999,1386,North,1681
14,16,16,14,1485,West,1680
99999,99999,15,13,1584,West,1679
12,99999,14,14,1683,North,1678
11,13,99999,99999,1682,North,1677
10,12,99999,12,1681,North,1676
9,11,99999,99999,1680,North,1675
8,10,10,99999,1679,North,1674
7,9,99999,99999,1678,North,1673
99999,8,99999,6,1677,West,1672
99999,99999,7,5,1676,West,1671
99999,99999,6,4,1675,West,1870
99999,99999,5,3,1674,West,2069
4,99999,4,2,1673,West,2068
99999,1,3,2,1672,South,2067
2,0,99999,1,1671,South,2266
2,99999,2,0,1870,West,2265
4,99999,3,2,2069,West,2264
99999,99999,3,1,2068,West,2263
99999,99999,2,0,2067,West,2262
99999,99999,6,99999,2266,East,2261
99999,99999,5,7,2265,East,2260
99999,99999,29,30,0,East,495
28,99999,30,30,99,North,594
27,29,99999,99999,198,North,693
99999,29,27,99999,297,East,792
99999,99999,26,28,396,East,891
99999,99999,26,28,495,East,990
25,99999,99999,27,594,North,1089
23,25,99999,99999,693,North,1188
21,23,99999,99999,792,North,1287
99999,21,19,21,891,East,1386
99999,99999,19,21,990,East,1485
99999,99999,17,19,1089,East,1584
17,19,99999,19,1188,North,1683
16,18,99999,99999,1287,North,1682
15,17,99999,99999,1386,North,1681
15,17,17,15,1485,West,1680
99999,99999,15,13,1584,West,1679
13,99999,15,15,1683,North,1678
12,14,99999,99999,1682,North,1677
10,12,99999,12,1681,North,1676
9,11,99999,99999,1680,North,1675
7,9,9,99999,1679,North,1674
7,9,99999,99999,1678,North,1673
99999,8,99999,6,1677,West,1672
99999,99999,7,5,1676,West,1871
99999,99999,6,4,1675,West,1870
99999,99999,4,2,1674,West,2069
4,99999,4,2,1673,West,2068
99999,1,2,0,1672,West,2267
99999,1,1,3,1871,South,2266
