@relation InstanceResultListener

@attribute Key_Dataset {test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,test_othermaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.PART,weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.functions.Logistic,weka.classifiers.functions.SimpleLogistic,weka.classifiers.functions.SMO,weka.classifiers.lazy.KStar,weka.classifiers.lazy.LWL,weka.classifiers.meta.AttributeSelectedClassifier,weka.classifiers.meta.Bagging,weka.classifiers.meta.ClassificationViaRegression,weka.classifiers.meta.FilteredClassifier,weka.classifiers.meta.IterativeClassifierOptimizer,weka.classifiers.meta.LogitBoost,weka.classifiers.meta.MultiClassClassifier,weka.classifiers.meta.MultiClassClassifierUpdateable,weka.classifiers.meta.RandomCommittee,weka.classifiers.meta.RandomizableFilteredClassifier,weka.classifiers.meta.RandomSubSpace,weka.classifiers.rules.DecisionTable,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomTree,weka.classifiers.trees.REPTree,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-M 2 -C 0.25 -Q 1','-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-R 1.0E-8 -M -1 -num-decimal-places 4','-I 0 -M 500 -H 50 -W 0.0','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-B 20 -M a','-U 0 -K -1 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\" -W weka.classifiers.trees.DecisionStump','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-W weka.classifiers.trees.M5P -- -M 4.0','-F \"weka.filters.supervised.attribute.Discretize -R first-last -precision 6\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-W weka.classifiers.meta.LogitBoost -L 50 -P 1 -E 1 -I 1 -F 10 -R 1 -metric RMSE -S 1 -- -P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-P 100 -L -1.7976931348623157E308 -H 1.0 -Z 3.0 -O 1 -E 1 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump','-M 0 -R 2.0 -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4','-M 0 -R 2.0 -S 1 -W weka.classifiers.functions.SGD -- -F 0 -L 0.01 -R 1.0E-4 -E 500 -C 0.001 -S 1','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1','-S 1 -F \"weka.filters.unsupervised.attribute.RandomProjection -N 10 -R 42 -D Sparse1\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-P 0.5 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 0 -M 1.0 -V 0.001 -S 1','-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {8121455039782598361,-217733168393644444,-3080186098777067172,3932117032546553727,7397710626304705059,-6585883636378691736,332458330800479083,1979797405383665815,-1151805453487947577,-115879962237199703,4500023123618669859,-4523450618538717400,-3665485256313525864,-1105660358715833753,-3879602011542849141,-1619685269774366430,-9204394360557300093,-4523466618555717333,1278172513912424947,2888557078165701326,1116839470751428698,-9051119597407396024,-9216785998198681299,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 28\n','Number of rules: 29\n','Number of rules: 33\n','Number of rules: 32\n','Number of rules: 31\n','Number of rules: 35\n','Number of rules: 34\n','Number of rules: 27\n','Number of rules: 30\n','Number of rules: 24\n','Number of rules: 36\n','Number of rules: 26\n','Number of rules: 22\n','Number of rules: 39\n','Number of rules: 40\n','Number of rules: 25\n','Number of rules: 37\n','Number of rules: 38\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 50\nSize of the tree: 99\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric
@attribute measureOutOfBagError numeric
@attribute measureBestNumIts numeric
@attribute measureBestVal numeric

@data

test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,1,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,33,6,0,84.615385,15.384615,0,0.792369,0.102783,0.261063,27.535845,60.388697,77.713032,3235.422574,-3157.709542,1.992642,82.959553,-80.966911,59.671213,1.530031,3003.133357,0.9,9,0.103448,3,0.896552,26,0.1,1,0.75,0.9,0.818182,0.753599,0.939655,0.749206,0.846154,0.056745,0.943255,0.153846,0.875458,0.846154,0.843706,0.806137,0.907265,0.792456,0.839075,0.846154,0.119,0.002,0.12,0,120,0,67524,73546,11021,92.307692,41.666667,'Number of rules: 28\n',28,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,2,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,34,5,0,87.179487,12.820513,0,0.827434,0.090255,0.251269,24.220355,58.233069,77.411339,2164.56337,-2087.152032,1.984906,55.501625,-53.516719,61.310228,1.572057,3084.287915,0.777778,7,0.066667,2,0.933333,28,0.222222,2,0.777778,0.777778,0.777778,0.711111,0.931481,0.732462,0.871795,0.03746,0.96254,0.128205,0.8668,0.871795,0.868132,0.832994,0.935487,0.82676,0.849206,0.871795,0.037,0,0.04,0,40,0,61147,73546,11021,89.74359,37.179487,'Number of rules: 28\n',28,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,3,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,34,5,0,87.179487,12.820513,0,0.828647,0.076656,0.236297,20.570945,54.763067,77.411339,1090.518528,-1013.107189,1.984906,27.962014,-25.977107,63.745853,1.634509,3206.815108,1,9,0.133333,4,0.866667,26,0,0,0.692308,1,0.818182,0.774597,0.990741,0.972222,0.871795,0.039611,0.960389,0.128205,0.905684,0.871795,0.872572,0.843952,0.972646,0.944774,0.871212,0.871795,0.041,0,0.03,0,30,0,64963,73546,11021,97.435897,35.25641,'Number of rules: 29\n',29,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,4,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,30,8,0,78.947368,21.052632,0,0.716682,0.124778,0.311758,33.447243,72.160747,75.627564,4311.722418,-4236.094854,1.990199,113.466379,-111.47618,53.882547,1.417962,2711.442609,0.555556,5,0.068966,2,0.931034,27,0.444444,4,0.714286,0.555556,0.625,0.533646,0.779693,0.639794,0.789474,0.076693,0.923307,0.210526,0.794173,0.789474,0.786373,0.717472,0.889969,0.737851,0.789781,0.789474,0.02,0.001,0.02,0,20,0,75755,73751,10816,89.473684,37.5,'Number of rules: 33\n',33,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,5,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,29,9,0,76.315789,23.684211,0,0.679475,0.12178,0.299568,32.643807,69.339157,75.627564,2168.627608,-2093.000044,1.990199,57.069148,-55.078949,53.806759,1.415967,2707.628842,0.555556,5,0.068966,2,0.931034,27,0.444444,4,0.714286,0.555556,0.625,0.533646,0.944444,0.849537,0.763158,0.085033,0.914967,0.236842,0.763659,0.763158,0.748394,0.683464,0.929257,0.811837,0.737369,0.763158,0.019,0,0.01,0,10,0,72489,73751,10816,92.105263,38.157895,'Number of rules: 32\n',32,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,6,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,30,8,0,78.947368,21.052632,0,0.718258,0.112284,0.309944,30.09831,71.740836,75.627564,5380.635324,-5305.00776,1.990199,141.595666,-139.605467,56.13659,1.477279,2824.869086,0.888889,8,0.068966,2,0.931034,27,0.111111,1,0.8,0.888889,0.842105,0.791616,0.969349,0.852778,0.789474,0.078016,0.921984,0.210526,0.788889,0.789474,0.788089,0.710668,0.891272,0.759222,0.803828,0.789474,0.022,0,0.02,0,20,0,74798,73751,10816,86.842105,31.578947,'Number of rules: 32\n',32,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,7,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,29,9,0,76.315789,23.684211,0,0.680672,0.133598,0.324606,35.811481,75.134663,75.627564,4315.028522,-4239.400958,1.990199,113.553382,-111.563183,51.46622,1.354374,2589.849764,0.666667,6,0.068966,2,0.931034,27,0.333333,3,0.75,0.666667,0.705882,0.623302,0.95977,0.868254,0.763158,0.083975,0.916025,0.236842,0.784148,0.763158,0.764124,0.693063,0.893633,0.784149,0.757667,0.763158,0.017,0.001,0.01,0,10,0,65851,73751,10816,86.842105,36.184211,'Number of rules: 31\n',31,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,8,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,28,10,0,73.684211,26.315789,0,0.649446,0.138808,0.346081,37.208063,80.105285,75.627564,6461.327397,-6385.699833,1.990199,170.034931,-168.044732,50.615321,1.331982,2547.031388,0.888889,8,0.034483,1,0.965517,28,0.111111,1,0.888889,0.888889,0.888889,0.854406,0.982759,0.947972,0.736842,0.08323,0.91677,0.263158,0.778902,0.736842,0.742578,0.668915,0.861783,0.719423,0.737639,0.736842,0.013,0,0.01,0,10,0,81420,73751,10816,78.947368,31.578947,'Number of rules: 35\n',35,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,9,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,31,7,0,81.578947,18.421053,0,0.75,0.10652,0.294009,28.605153,68.192307,75.268472,4308.370617,-4233.102145,1.980749,113.378174,-111.397425,56.270973,1.480815,2830.115421,0.888889,8,0.034483,1,0.965517,28,0.111111,1,0.888889,0.888889,0.888889,0.854406,0.940613,0.902859,0.815789,0.067715,0.932285,0.184211,0.816228,0.815789,0.811594,0.751792,0.9018,0.756225,0.801932,0.815789,0.012,0.001,0.01,0,10,0,72188,73751,10816,89.473684,36.184211,'Number of rules: 33\n',33,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,1,10,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,345,38,33,5,0,86.842105,13.157895,0,0.82243,0.081276,0.236975,21.826074,54.964041,75.268472,1090.569171,-1015.300699,1.980749,28.699189,-26.718439,61.097458,1.607828,3072.860647,0.888889,8,0.137931,4,0.862069,25,0.111111,1,0.666667,0.888889,0.761905,0.686845,0.904215,0.781342,0.868421,0.043389,0.956611,0.131579,0.894737,0.868421,0.872807,0.837034,0.961987,0.9165,0.864177,0.868421,0.01,0,0.01,0,10,0,72400,73751,10816,94.736842,36.842105,'Number of rules: 34\n',34,?,?,?,?,?,?,?,?,?,?
test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R21,2,1,weka.classifiers.rules.PART,'-M 2 -C 0.25 -Q 1',8121455039782598361,20190322.1423,344,39,29,10,0,74.358974,25.641026,0,0.658793,0.138245,0.332883,37.036241,77.001898,77.713032,4320.388434,-4242.675401,1.992642,110.779191,-108.786549,52.985572,1.358604,2666.658351,0.8,8,0.137931,4,0.862069,25,0.2,2,0.666667,0.8,0.727273,0.626368,0.822414,0.592234,0.74359,0.085199,0.914801,0.25641,0.757835,0.74359,0.731112,0.66051,0.882786,0.733657,0.739305,0.74359,0.009,0.001,0.01,0,10,0,59791,73546,11021,84.615385,35.897436,'Number of rules: 28\n',28,?,?,?,?,?,?,?,?,?,?
