@RELATION 'filter_data_pacman_manual1'

@ATTRIBUTE pacPosX NUMERIC
@ATTRIBUTE pacPosY NUMERIC
@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE ghostPosX1 NUMERIC
@ATTRIBUTE ghostPosY1 NUMERIC
@ATTRIBUTE ghostPosX2 NUMERIC
@ATTRIBUTE ghostPosY2 NUMERIC
@ATTRIBUTE ghostPosX3 NUMERIC
@ATTRIBUTE ghostPosY3 NUMERIC
@ATTRIBUTE ghostPosX4 NUMERIC
@ATTRIBUTE ghostPosY4 NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,7,5,7,9,7,11,14,6,Stop
1,11,0,1,1,0,1,8,5,6,9,7,11,14,7,Stop
1,11,0,1,1,0,1,8,5,5,9,7,11,14,6,Stop
1,11,0,1,1,0,1,8,4,6,9,7,11,14,6,Stop
2,11,0,0,1,1,1,8,3,7,9,6,11,14,5,East
3,11,0,0,1,1,1,8,4,8,9,5,11,13,5,East
4,11,0,0,1,1,1,8,5,8,8,5,11,13,5,East
5,11,0,1,1,1,1,8,6,8,8,5,1,14,5,East
6,11,0,1,1,1,1,9,6,9,8,5,1,14,5,East
6,10,1,1,0,1,1,9,7,9,7,5,1,14,4,South
6,9,1,1,1,1,1,9,6,8,7,5,1,14,5,South
7,9,0,1,1,1,1,9,5,8,7,5,1,14,5,East
8,9,0,1,1,1,1,10,5,8,7,5,1,14,5,East
8,8,1,1,1,1,1,9,5,8,7,5,1,13,5,South
8,7,1,1,1,1,1,8,5,3,1,5,1,14,5,South
8,6,1,1,1,0,1,1,1,3,1,5,1,14,4,South
9,6,1,1,1,1,1,1,1,3,1,5,1,15,4,East
10,6,1,1,0,1,1,1,1,3,1,5,1,14,4,East
10,5,1,1,1,1,1,1,1,3,1,5,1,14,4,South
10,4,1,1,1,1,1,1,1,3,1,5,1,15,4,South
11,4,1,1,0,1,1,1,1,3,1,5,1,14,4,East
11,4,1,1,0,1,1,1,1,3,1,5,1,14,3,East
11,5,0,1,1,1,1,1,1,3,1,5,1,15,3,North
12,5,0,0,1,1,1,1,1,3,1,5,1,15,3,East
13,5,0,1,1,1,1,1,1,3,1,5,1,15,4,East
14,5,1,1,1,1,1,1,1,3,1,5,1,15,3,East
14,4,1,1,1,1,1,1,1,3,1,5,1,14,3,South
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,5,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,6,5,6,9,8,11,14,5,Stop
1,11,0,1,1,0,1,5,5,6,10,7,11,13,5,Stop
2,11,0,0,1,1,1,5,5,5,10,6,11,14,5,East
3,11,0,0,1,1,1,6,5,5,10,5,11,15,5,East
4,11,0,0,1,1,1,7,5,5,9,5,1,15,5,East
5,11,0,1,1,1,1,7,4,4,9,5,1,14,5,East
5,10,1,1,1,0,1,7,3,5,9,5,1,14,6,South
5,9,1,1,1,1,1,7,3,3,1,5,1,14,5,South
5,8,1,1,1,1,1,8,3,3,1,5,1,15,5,South
4,8,1,1,1,1,1,8,4,3,1,5,1,16,5,West
3,8,1,1,1,1,1,9,4,3,1,5,1,16,5,West
4,8,1,1,1,1,1,8,4,3,1,5,1,15,5,East
5,8,1,1,1,1,1,8,4,3,1,5,1,14,5,East
6,8,1,1,1,1,1,8,3,3,1,5,1,14,6,East
7,8,1,1,1,1,1,8,3,3,1,5,1,14,5,East
8,8,1,1,1,1,1,8,3,3,1,5,1,15,5,East
8,7,1,1,1,1,1,7,3,3,1,5,1,15,5,South
8,6,1,1,1,0,1,7,4,3,1,5,1,16,5,South
8,5,1,1,1,1,1,7,3,3,1,5,1,16,5,South
8,4,1,1,1,1,1,8,3,3,1,5,1,16,5,South
8,3,1,0,1,1,1,1,1,3,1,5,1,17,5,South
7,3,1,0,1,1,1,1,1,3,1,5,1,16,5,West
6,3,1,0,1,1,1,1,1,3,1,5,1,17,5,West
7,3,1,0,1,1,1,1,1,3,1,5,1,16,5,East
8,3,1,0,1,1,1,1,1,3,1,5,1,16,4,East
9,3,1,0,1,1,1,1,1,3,1,5,1,15,4,East
10,3,1,0,1,1,1,1,1,3,1,5,1,15,3,East
10,4,1,1,1,1,1,1,1,3,1,5,1,14,3,North
10,5,1,1,1,1,1,1,1,3,1,5,1,14,4,North
11,5,0,1,1,1,1,1,1,3,1,5,1,14,3,East
12,5,0,0,1,1,1,1,1,3,1,5,1,13,3,East
13,5,0,1,1,1,1,1,1,3,1,5,1,14,3,East
14,5,1,1,1,1,1,1,1,3,1,5,1,15,3,East
14,4,1,1,1,1,1,1,1,3,1,5,1,15,3,South
15,4,1,1,1,1,1,1,1,3,1,5,1,14,3,East
16,4,1,1,1,1,1,1,1,3,1,5,1,13,3,East
17,4,1,1,1,1,1,1,1,3,1,5,1,13,3,East
16,4,1,1,1,1,1,1,1,3,1,5,1,14,3,West
15,4,1,1,1,1,1,1,1,3,1,5,1,13,3,West
15,3,1,0,1,1,1,1,1,3,1,5,1,13,4,South
15,3,1,0,1,1,1,1,1,3,1,5,1,13,3,South
14,3,1,0,1,1,1,1,1,3,1,5,1,13,4,West
13,3,1,0,1,0,1,1,1,3,1,5,1,13,4,West
13,4,1,1,1,0,1,1,1,3,1,5,1,14,4,North
13,5,0,1,1,1,1,1,1,3,1,5,1,14,5,North
13,5,0,1,1,1,1,1,1,3,1,5,1,15,5,North
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,7,5,6,9,9,11,14,6,Stop
2,11,0,0,1,1,1,7,5,6,10,8,11,14,6,East
3,11,0,0,1,1,1,7,4,5,10,7,11,14,6,East
4,11,0,0,1,1,1,7,3,5,11,7,11,14,5,East
5,11,0,1,1,1,1,7,4,3,1,6,11,13,5,East
6,11,0,1,1,1,1,7,5,3,1,5,1,14,5,East
7,11,0,0,1,1,1,7,4,3,1,5,1,14,5,East
8,11,0,0,1,1,1,7,3,3,1,5,1,15,5,East
9,11,0,0,1,1,1,7,3,3,1,5,1,15,4,East
8,11,0,0,1,1,1,7,4,3,1,5,1,15,4,West
7,11,0,0,1,1,1,7,5,3,1,5,1,15,3,West
6,11,0,1,1,1,1,6,5,3,1,5,1,15,3,West
6,10,1,1,0,1,1,5,5,3,1,5,1,15,4,South
6,9,1,1,1,1,1,5,4,3,1,5,1,15,3,South
6,8,1,1,1,1,1,5,4,3,1,5,1,15,3,South
7,8,1,1,1,1,1,4,4,3,1,5,1,15,4,East
8,8,1,1,1,1,1,4,3,3,1,5,1,15,4,East
8,7,1,1,1,1,1,4,3,3,1,5,1,15,4,South
8,6,1,1,1,0,1,3,3,3,1,5,1,15,4,South
8,5,1,1,1,1,1,2,3,3,1,5,1,15,3,South
8,4,1,1,1,1,1,3,3,3,1,5,1,15,4,South
7,4,1,1,1,1,1,3,4,3,1,5,1,15,4,West
6,4,1,1,1,1,1,3,4,3,1,5,1,15,5,West
