@relation InstanceResultListener

@attribute Key_Dataset {all_data_pacman,filter_data_pacman_manual1,filter_data_pacman_manual2}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 2 -C 0.25 -Q 1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 105\nSize of the tree: 209\n','Number of rules: 73\n','Number of rules: 80\n','Number of rules: 69\n','Number of rules: 64\n','Number of rules: 78\n','Number of rules: 77\n','Number of rules: 79\n','Number of rules: 74\n','Number of rules: 65\n','Number of rules: 83\n','Number of rules: 71\n','Number of rules: 67\n','Number of rules: 75\n','Number of rules: 70\n','Number of rules: 76\n','Number of rules: 72\n','Number of rules: 68\n','Number of rules: 81\n','Number of rules: 59\n','Number of rules: 82\n','Number of rules: 84\n','Number of rules: 66\n','Number of rules: 62\n','Number of rules: 63\n','Number of rules: 86\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

all_data_pacman,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,44,22,0,66.666667,33.333333,0,0.54354,0.138796,0.320288,47.507317,83.756262,137.732073,7570.037692,-7432.305619,2.08685,114.697541,-112.610691,81.508672,1.23498,3922.61923,0.285714,2,0.033898,2,0.966102,57,0.714286,5,0.5,0.285714,0.363636,0.324962,0.854722,0.393495,0.666667,0.123474,0.876526,0.333333,0.668741,0.666667,0.659653,0.542381,0.853127,0.683033,0.656562,0.666667,0.019,0,0.02,0,20,0,46739,114781,15367,86.363636,33.939394,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88
all_data_pacman,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,35,31,0,53.030303,46.969697,0,0.352327,0.185857,0.374372,63.725977,98.091025,136.773632,11875.434103,-11738.660471,2.072328,179.93082,-177.858492,59.349898,0.899241,2854.022704,0.333333,2,0.116667,7,0.883333,53,0.666667,4,0.222222,0.333333,0.266667,0.181503,0.648611,0.213967,0.530303,0.165937,0.834063,0.469697,0.518687,0.530303,0.520608,0.363072,0.753279,0.52901,0.51224,0.530303,0.015,0,0.02,0,20,0,44803,114781,15367,81.818182,40.30303,'Number of leaves: 84\nSize of the tree: 167\n',167,84,84
all_data_pacman,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,47,19,0,71.212121,28.787879,0,0.598977,0.134334,0.315855,46.060086,82.758701,136.773632,11843.75089,-11706.977258,2.072328,179.450771,-177.378443,83.408207,1.263761,4010.940649,0.333333,2,0.016667,1,0.983333,59,0.666667,4,0.666667,0.333333,0.444444,0.437042,0.758333,0.474747,0.712121,0.125555,0.874445,0.287879,0.713051,0.712121,0.704925,0.592384,0.82027,0.658452,0.705391,0.712121,0.015,0,0.01,0,10,0,48675,114781,15367,81.818182,32.424242,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92
all_data_pacman,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,47,19,0,71.212121,28.787879,0,0.595484,0.136697,0.321427,46.870287,84.218513,136.773632,12916.167002,-12779.39337,2.072328,195.6995,-193.627172,79.035638,1.19751,3800.672177,0.166667,1,0.016667,1,0.983333,59,0.833333,5,0.5,0.166667,0.25,0.251558,0.511111,0.257576,0.712121,0.120262,0.879738,0.287879,0.698106,0.712121,0.696468,0.594872,0.809173,0.622727,0.663513,0.712121,0.011,0,0.01,0,10,0,45287,114781,15367,81.818182,32.424242,'Number of leaves: 85\nSize of the tree: 169\n',169,85,85
all_data_pacman,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,46,20,0,69.69697,30.30303,0,0.570033,0.150417,0.294493,51.574471,77.161438,136.773632,5417.884687,-5281.111055,2.072328,82.089162,-80.016834,79.982925,1.211862,3846.225382,0,0,0,0,1,60,1,6,0,0,0,0,0.806944,0.413268,0.69697,0.140466,0.859534,0.30303,0.636134,0.69697,0.664511,0.547939,0.863383,0.692756,0.615186,0.69697,0.009,0,0.01,0,10,0,37059,114781,15367,92.424242,45.151515,'Number of leaves: 68\nSize of the tree: 135\n',135,68,68
all_data_pacman,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,44,22,0,66.666667,33.333333,0,0.541667,0.139155,0.319973,47.712925,83.837531,136.773632,10777.544094,-10640.770462,2.072328,163.296123,-161.223795,78.503082,1.189441,3775.062601,0.166667,1,0.083333,5,0.916667,55,0.833333,5,0.166667,0.166667,0.166667,0.083333,0.643056,0.187525,0.666667,0.11054,0.88946,0.333333,0.669908,0.666667,0.666982,0.558054,0.857134,0.725347,0.625463,0.666667,0.009,0,0.01,0,10,0,44319,114781,15367,83.333333,33.030303,'Number of leaves: 83\nSize of the tree: 165\n',165,83,83
all_data_pacman,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,39,27,0,59.090909,40.909091,0,0.44932,0.170076,0.355319,58.341415,93.146263,136.36622,12929.381775,-12793.015555,2.066155,195.899724,-193.833569,68.641951,1.04003,3299.745808,0.142857,1,0.067797,4,0.932203,55,0.857143,6,0.2,0.142857,0.166667,0.087345,0.715496,0.342945,0.590909,0.131713,0.868287,0.409091,0.610131,0.590909,0.59154,0.456276,0.791297,0.585926,0.591667,0.590909,0.01,0,0.01,0,10,0,42867,114781,15367,81.818182,36.060606,'Number of leaves: 80\nSize of the tree: 159\n',159,80,80
all_data_pacman,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,592,66,44,22,0,66.666667,33.333333,0,0.52611,0.148827,0.332396,51.052406,87.137278,136.36622,13994.483534,-13858.117314,2.066155,212.037629,-209.971474,73.486196,1.113427,3532.617598,0.142857,1,0.016949,1,0.983051,58,0.857143,6,0.5,0.142857,0.222222,0.226164,0.527845,0.203463,0.666667,0.152013,0.847987,0.333333,0.649383,0.666667,0.643995,0.520608,0.811949,0.650298,0.631097,0.666667,0.009,0,0.01,0,10,0,44319,114781,15367,80.30303,36.060606,'Number of leaves: 83\nSize of the tree: 165\n',165,83,83
all_data_pacman,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190227.1648,593,65,40,25,0,61.538462,38.461538,0,0.490116,0.156012,0.344269,53.44407,90.111189,135.583351,11851.739505,-11716.156154,2.085898,182.334454,-180.248556,72.774914,1.119614,3502.098679,0,0,0.103448,6,0.896552,52,1,7,0,0,0,-0.110786,0.523399,0.13575,0.615385,0.113034,0.886966,0.384615,0.633401,0.615385,0.610097,0.492819,0.814085,0.639487,0.59234,0.615385,0.007,0,0.01,0,10,0,48675,114970,15178,83.076923,32.307692,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92
