@RELATION 'training_allmaps'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,14,16,99999,0,-1,99999,South
15,13,99999,99999,-1,-2,99999,South
14,12,14,99999,-2,-3,99999,South
13,11,13,99999,-3,-4,99999,South
12,10,12,99999,-4,-5,99999,South
11,9,99999,99999,-5,-6,99999,South
10,8,10,99999,-6,-7,99999,South
9,7,99999,99999,-7,-8,99999,South
8,6,99999,99999,-8,-9,99999,South
7,5,99999,99999,-9,-10,99999,South
6,4,99999,99999,-10,-11,99999,South
5,3,99999,99999,-11,-12,99999,South
4,2,3,99999,-12,-13,99999,South
3,1,2,99999,-13,-14,99999,South
2,0,1,99999,-14,185,99999,South
2,99999,0,99999,185,384,99999,East
6,99999,6,8,384,383,99999,North
5,7,5,7,383,382,99999,North
4,6,4,6,382,381,99999,North
99999,5,3,5,381,380,99999,East
4,4,2,4,380,379,99999,East
3,3,1,3,379,378,99999,East
2,2,0,2,378,577,99999,East
3,99999,5,3,577,576,99999,North
2,4,99999,2,576,575,99999,North
1,3,99999,1,575,574,99999,North
99999,14,16,99999,0,-1,99999,South
14,12,99999,99999,-1,-2,99999,South
13,11,13,99999,-2,-3,99999,South
13,11,13,99999,-3,-4,99999,South
12,10,12,99999,-4,-5,99999,South
10,8,99999,99999,-5,-6,99999,South
10,8,10,99999,-6,-7,99999,South
8,6,99999,99999,-7,-8,99999,South
6,4,99999,99999,-8,-9,99999,South
6,4,99999,99999,-9,-10,99999,South
4,2,99999,99999,-10,-11,99999,South
2,0,99999,99999,-11,188,99999,South
4,4,2,99999,188,187,99999,East
99999,2,0,2,187,386,99999,East
2,4,2,4,386,385,99999,North
2,3,1,99999,385,384,99999,East
1,1,1,3,384,583,99999,North
5,3,3,5,583,582,99999,South
3,1,3,3,582,581,99999,South
3,1,3,1,581,580,99999,South
1,3,3,1,580,579,99999,North
99999,18,20,99999,0,-1,99999,South
19,17,99999,99999,-1,-2,99999,South
18,16,18,99999,-2,-3,99999,South
17,15,17,99999,-3,-4,99999,South
16,14,16,99999,-4,-5,99999,South
15,13,99999,99999,-5,-6,99999,South
14,12,14,99999,-6,-7,99999,South
13,11,99999,99999,-7,-8,99999,South
12,10,99999,99999,-8,-9,99999,South
11,9,99999,99999,-9,-10,99999,South
10,8,99999,99999,-10,-11,99999,South
9,7,99999,99999,-11,-12,99999,South
8,8,6,99999,-12,-13,99999,East
99999,7,5,7,-13,-14,99999,East
4,6,4,6,-14,-15,99999,North
3,5,3,99999,-15,-16,99999,North
2,4,2,99999,-16,-17,99999,North
3,3,1,99999,-17,-18,99999,East
2,2,0,2,-18,181,99999,East
13,11,11,13,181,180,99999,South
12,10,10,12,180,179,99999,South
11,9,9,11,179,178,99999,South
10,8,8,10,178,177,99999,South
9,7,99999,9,177,176,99999,South
8,6,99999,8,176,175,99999,South
7,99999,5,7,175,174,99999,East
99999,99999,4,6,174,173,99999,East
99999,99999,3,5,173,172,99999,East
4,99999,2,4,172,171,99999,East
3,99999,1,3,171,170,99999,East
2,99999,0,2,170,369,99999,East
20,99999,99999,22,369,368,99999,North
19,21,99999,21,368,367,99999,North
18,20,99999,20,367,366,99999,North
17,19,99999,19,366,365,99999,North
16,18,99999,18,365,364,99999,North
15,17,99999,17,364,363,99999,North
14,16,99999,16,363,362,99999,North
13,15,99999,15,362,361,99999,North
12,14,99999,14,361,360,99999,North
99999,13,11,13,360,359,99999,East
99999,99999,10,12,359,358,99999,East
99999,9,9,11,358,357,99999,South
10,8,8,99999,357,356,99999,South
9,7,7,99999,356,355,99999,South
8,6,6,99999,355,354,99999,South
7,5,5,99999,354,353,99999,South
6,4,4,99999,353,352,99999,South
5,5,3,99999,352,351,99999,East
4,4,2,4,351,350,99999,East
99999,99999,1,3,350,349,99999,East
99999,99999,0,2,349,548,99999,East
99999,26,24,24,548,547,99999,East
99999,25,23,25,547,546,99999,East
99999,24,22,24,546,545,99999,East
99999,23,21,23,545,544,99999,East
99999,99999,20,22,544,543,99999,East
99999,99999,19,21,543,542,99999,East
18,20,20,20,542,541,99999,North
17,19,19,99999,541,540,99999,North
16,18,18,18,540,539,99999,North
15,17,17,99999,539,538,99999,North
16,16,16,14,538,537,99999,West
15,99999,15,13,537,536,99999,West
99999,99999,14,12,536,535,99999,West
11,99999,13,13,535,534,99999,North
10,12,99999,12,534,533,99999,North
9,11,99999,11,533,532,99999,North
8,10,99999,10,532,531,99999,North
7,9,99999,9,531,530,99999,North
8,8,6,99999,530,529,99999,East
7,99999,5,7,529,528,99999,East
6,4,4,6,528,527,99999,South
5,5,3,99999,527,526,99999,East
4,4,2,4,526,525,99999,East
