@relation training_allmaps-weka.filters.unsupervised.attribute.Remove-R9

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
0,1,1,0,1,0,15,0,99999,South
1,1,0,0,1,0,14,-1,99999,South
1,1,1,0,1,0,13,-2,99999,South
1,1,1,0,1,0,12,-3,99999,South
1,1,1,0,1,0,11,-4,99999,South
1,1,0,0,1,0,10,-5,99999,South
1,1,1,0,1,0,9,-6,99999,South
1,1,0,0,1,0,8,-7,99999,South
1,1,0,0,1,0,7,-8,99999,South
1,1,0,0,1,0,6,-9,99999,South
1,1,0,0,1,0,5,-10,99999,South
1,1,0,0,1,0,4,-11,99999,South
1,1,1,0,1,0,3,-12,99999,South
1,1,1,0,1,0,2,-13,99999,South
1,1,1,0,1,0,1,-14,99999,South
1,0,1,0,1,-1,0,185,99999,East
1,0,1,1,1,-4,-3,384,99999,East
1,0,1,1,1,-3,-3,383,99999,East
1,0,1,1,1,-2,-3,382,99999,East
1,0,1,1,1,-1,-3,381,99999,North
1,1,0,1,1,-1,-2,380,99999,North
1,1,0,1,1,-1,-1,379,99999,North
1,1,1,1,1,-1,0,378,99999,East
1,0,1,1,1,1,-3,577,99999,West
1,1,1,1,1,0,-3,576,99999,North
1,1,1,1,1,0,-2,575,99999,North
0,1,1,0,1,0,15,0,99999,South
1,1,0,0,1,-1,13,-1,99999,South
1,1,1,0,1,-1,12,-2,99999,South
1,1,1,0,1,-2,11,-3,99999,South
1,1,1,0,1,-1,10,-4,99999,South
1,1,0,0,1,-1,8,-5,99999,South
1,1,1,0,1,0,7,-6,99999,South
1,1,0,0,1,0,5,-7,99999,South
1,1,0,0,1,0,5,-8,99999,South
1,1,0,0,1,0,5,-9,99999,South
1,1,0,0,1,-2,2,-10,99999,South
1,1,0,0,1,-1,1,-11,99999,South
1,1,1,0,1,-1,1,-12,99999,East
0,1,1,1,1,0,1,-13,99999,South
1,1,1,1,1,-4,-2,386,99999,East
1,1,1,1,1,-3,-1,385,99999,East
1,1,1,1,1,-1,-1,384,99999,East
1,1,0,1,1,-1,-1,383,99999,North
1,1,1,1,1,-2,0,382,99999,East
1,0,1,1,1,-1,0,381,99999,East
0,0,1,1,1,3,-2,580,99999,West
1,0,1,1,1,1,-2,579,99999,West
1,1,1,1,1,1,-2,578,99999,West
1,1,1,1,1,-1,-2,577,99999,East
1,1,1,1,1,1,-2,576,99999,West
1,1,1,1,1,0,-3,575,99999,North
1,1,1,1,1,-1,-2,574,99999,East
1,1,1,1,1,-1,-2,573,99999,East
1,1,0,1,1,0,-2,572,99999,North
