@RELATION 'training_keyboard'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,0,1,1,1,-1,4,-1,-2,99999,Stop
0,0,1,1,1,-1,4,-2,-3,99999,Stop
0,0,1,1,1,-1,4,-3,-4,99999,Stop
0,0,1,1,1,-1,4,-4,-5,99999,Stop
0,0,1,1,1,-1,4,-5,-6,99999,Stop
0,0,1,1,1,-1,4,-6,-7,99999,Stop
0,0,1,1,1,-1,4,-7,-8,99999,Stop
0,0,1,1,1,-1,4,-8,-9,99999,Stop
0,0,1,1,1,-1,4,-9,-10,99999,Stop
0,0,1,1,1,-1,4,-10,-11,99999,Stop
0,0,1,1,1,-1,4,-11,-12,99999,Stop
0,0,1,1,1,-1,4,-12,-13,99999,Stop
0,0,1,1,1,-1,4,-13,-14,99999,Stop
0,0,1,1,1,-1,4,-14,-15,99999,Stop
0,0,1,1,1,-1,4,-15,-16,99999,Stop
0,0,1,1,1,-1,4,-16,-17,99999,Stop
0,0,1,1,1,-1,4,-17,-18,99999,Stop
0,0,1,1,1,-1,4,-18,-19,99999,Stop
0,0,1,1,1,-1,4,-19,-20,99999,Stop
0,0,1,1,1,-1,4,-20,-21,99999,Stop
0,0,1,1,1,-1,4,-21,-22,99999,Stop
0,0,1,1,1,-1,4,-22,-23,99999,West
0,0,1,1,1,-2,4,-23,-24,99999,West
0,0,1,1,1,-3,4,-24,-25,99999,West
0,0,1,1,1,4,4,-25,-26,99999,West
0,0,1,1,1,3,4,-26,-27,99999,West
0,0,1,1,1,2,4,-27,-28,99999,West
0,0,1,1,1,1,4,-28,-29,99999,West
0,1,1,1,1,0,4,-29,-30,99999,South
1,1,0,1,1,0,3,-30,-31,99999,South
1,0,1,1,1,0,2,-31,-32,99999,South
1,0,1,1,1,0,2,-32,-33,99999,South
1,0,1,1,1,0,2,-33,-34,99999,South
1,0,1,1,1,0,2,-34,-35,99999,South
1,0,1,1,1,0,2,-35,-36,99999,South
1,0,1,1,1,0,2,-36,-37,99999,South
1,0,1,1,1,0,2,-37,-38,99999,South
1,0,1,1,1,0,2,-38,-39,99999,South
1,0,1,1,1,0,2,-39,-40,99999,South
1,0,1,1,1,0,2,-40,-41,99999,South
1,0,1,1,1,0,2,-41,-42,99999,South
1,0,1,1,1,0,2,-42,-43,99999,South
1,0,1,1,1,0,2,-43,-44,99999,South
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,0,1,1,1,-1,4,-1,-2,99999,Stop
0,0,1,1,1,-1,4,-2,-3,99999,Stop
0,0,1,1,1,-1,4,-3,-4,99999,Stop
0,0,1,1,1,-1,4,-4,-5,99999,Stop
0,0,1,1,1,-1,4,-5,-6,99999,Stop
0,0,1,1,1,-1,4,-6,-7,99999,Stop
0,0,1,1,1,-1,4,-7,-8,99999,Stop
0,0,1,1,1,-1,4,-8,-9,99999,Stop
0,0,1,1,1,-1,4,-9,-10,99999,Stop
0,0,1,1,1,-1,4,-10,-11,99999,Stop
0,0,1,1,1,-1,4,-11,-12,99999,Stop
0,0,1,1,1,-1,4,-12,-13,99999,East
0,1,1,1,1,0,4,-13,-14,99999,East
0,1,1,1,1,1,4,-14,-15,99999,South
1,1,1,1,1,1,3,-15,-16,99999,South
1,1,1,1,1,1,2,-16,-17,99999,South
1,1,1,0,1,1,1,-17,-18,99999,South
1,1,1,1,1,1,0,-18,181,99999,West
0,1,1,1,1,8,0,181,180,99999,West
0,1,1,1,1,7,0,180,179,99999,South
1,1,1,1,1,7,-1,179,178,99999,South
1,1,1,1,1,7,-2,178,177,99999,West
1,1,1,1,1,6,-2,177,176,99999,West
1,1,1,0,1,5,-2,176,175,99999,West
1,1,1,0,1,5,-2,175,174,99999,South
1,0,1,1,1,5,-3,174,173,99999,West
0,0,1,1,1,4,-3,173,172,99999,West
1,0,1,1,1,3,-3,172,171,99999,West
1,0,1,1,1,2,-3,171,170,99999,North
1,1,1,1,1,2,-2,170,169,99999,North
1,1,1,1,1,2,-1,169,168,99999,North
0,1,1,1,1,2,0,168,167,99999,West
0,1,1,1,1,1,0,167,366,99999,West
0,1,1,1,1,0,-6,366,365,99999,West
1,1,1,1,1,-1,-6,365,364,99999,North
1,1,0,1,1,-1,-5,364,363,99999,North
1,1,1,1,1,-1,-4,363,362,99999,North
1,1,1,1,1,-1,-3,362,361,99999,West
1,1,1,1,1,-2,-3,361,360,99999,North
1,1,1,1,1,-2,-2,360,359,99999,North
1,1,0,1,1,-2,-1,359,358,99999,North
1,1,0,1,1,-2,0,358,357,99999,North
1,1,0,1,1,-2,1,357,356,99999,North
0,1,1,1,1,-2,2,356,355,99999,North
0,1,1,1,1,-2,2,355,354,99999,East
0,0,1,1,1,-1,2,354,353,99999,East
0,0,1,1,1,0,2,353,352,99999,East
0,0,1,1,1,1,2,352,351,99999,East
0,0,1,1,1,2,2,351,350,99999,East
0,1,1,1,1,3,2,350,349,99999,South
1,1,1,0,1,3,1,349,348,99999,South
1,0,1,1,1,3,0,348,347,99999,West
0,0,1,1,1,2,0,347,346,99999,West
0,0,1,1,1,1,0,346,545,99999,West
0,0,1,0,1,-8,0,545,544,99999,East
0,0,1,1,1,-7,0,544,543,99999,East
0,0,1,1,1,-6,0,543,542,99999,East
1,0,1,1,1,-5,0,542,541,99999,East
1,0,1,1,1,-4,0,541,540,99999,East
1,0,1,1,1,-3,0,540,539,99999,East
0,0,1,1,1,-2,0,539,538,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,0,1,1,1,-2,4,-1,-2,99999,Stop
0,0,1,1,1,-2,5,-2,-3,99999,Stop
0,0,1,1,1,-1,5,-3,-4,99999,Stop
0,0,1,1,1,-1,4,-4,-5,99999,Stop
0,0,1,1,1,0,4,-5,-6,99999,Stop
0,0,1,1,1,1,4,-6,-7,99999,Stop
0,0,1,1,1,1,4,-7,-8,99999,Stop
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,0,1,1,1,-1,4,-1,-2,99999,Stop
0,0,1,1,1,-1,4,-2,-3,99999,Stop
0,0,1,1,1,-1,4,-3,-4,99999,Stop
0,0,1,1,1,-1,4,-4,-5,99999,Stop
0,0,1,1,1,-1,4,-5,-6,99999,Stop
0,0,1,1,1,-1,4,-6,-7,99999,Stop
0,0,1,1,1,-1,4,-7,-8,99999,Stop
0,0,1,1,1,-1,4,-8,-9,99999,Stop
0,0,1,1,1,-1,4,-9,-10,99999,Stop
0,0,1,1,1,-1,4,-10,-11,99999,East
0,1,1,1,1,0,4,-11,-12,99999,South
1,1,1,0,1,0,3,-12,-13,99999,South
1,0,1,1,1,0,2,-13,-14,99999,South
1,0,1,1,1,0,2,-14,-15,99999,East
1,1,1,1,1,1,2,-15,-16,99999,South
1,1,1,0,1,1,1,-16,-17,99999,South
1,1,1,1,1,1,0,-17,182,99999,West
0,1,1,1,1,8,0,182,181,99999,West
0,1,1,1,1,7,0,181,180,99999,West
0,1,1,1,1,6,0,180,179,99999,West
0,1,1,0,1,5,0,179,178,99999,West
0,1,1,0,1,5,0,178,177,99999,West
0,1,1,0,1,5,0,177,176,99999,West
0,1,1,0,1,5,0,176,175,99999,West
0,1,1,0,1,5,0,175,174,99999,West
0,1,1,0,1,5,0,174,173,99999,West
0,1,1,0,1,5,0,173,172,99999,West
0,1,1,0,1,5,0,172,171,99999,West
0,1,1,0,1,5,0,171,170,99999,West
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,0,1,1,1,-1,4,-1,-2,99999,East
0,1,1,1,1,0,4,-2,-3,99999,East
0,1,1,1,1,1,4,-3,-4,99999,South
1,1,1,1,1,1,3,-4,-5,99999,South
1,1,1,1,1,1,2,-5,-6,99999,South
1,1,1,0,1,1,1,-6,-7,99999,South
1,1,1,1,1,1,0,-7,192,99999,West
0,1,1,1,1,8,0,192,191,99999,West
0,1,1,1,1,7,0,191,190,99999,South
1,1,1,1,1,7,-1,190,189,99999,South
1,1,1,1,1,7,-2,189,188,99999,South
1,0,1,1,1,7,-3,188,187,99999,West
1,0,1,1,1,6,-3,187,186,99999,West
1,0,1,1,1,5,-3,186,185,99999,West
0,0,1,1,1,4,-3,185,184,99999,West
1,0,1,1,1,3,-3,184,183,99999,West
1,0,1,1,1,2,-3,183,182,99999,North
1,1,1,1,1,2,-2,182,181,99999,North
1,1,1,1,1,2,-1,181,180,99999,North
0,1,1,1,1,2,0,180,179,99999,West
0,1,1,1,1,1,0,179,378,99999,West
0,1,1,1,1,0,-6,378,377,99999,West
1,1,1,1,1,-1,-6,377,376,99999,West
1,1,1,1,1,-2,-6,376,375,99999,North
1,1,1,1,1,-2,-5,375,374,99999,North
1,1,1,1,1,-2,-4,374,373,99999,North
1,1,1,1,1,-2,-3,373,372,99999,North
1,1,1,1,1,-2,-2,372,371,99999,North
1,1,0,1,1,-2,-1,371,370,99999,North
1,1,0,1,1,-2,0,370,369,99999,North
1,1,0,1,1,-2,1,369,368,99999,North
0,1,1,1,1,-2,2,368,367,99999,East
0,0,1,1,1,-1,2,367,366,99999,East
0,0,1,1,1,0,2,366,365,99999,East
0,0,1,1,1,1,2,365,364,99999,East
0,0,1,1,1,2,2,364,363,99999,East
0,1,1,1,1,3,2,363,362,99999,South
1,1,1,0,1,3,1,362,361,99999,South
1,0,1,1,1,3,0,361,360,99999,West
0,0,1,1,1,2,0,360,359,99999,West
0,0,1,1,1,1,0,359,558,99999,West
0,0,1,0,1,-8,0,558,557,99999,East
0,0,1,1,1,-7,0,557,556,99999,East
0,0,1,1,1,-6,0,556,555,99999,East
1,0,1,1,1,-5,0,555,554,99999,East
1,0,1,1,1,-4,0,554,553,99999,East
1,0,1,1,1,-3,0,553,552,99999,East
0,0,1,1,1,-2,0,552,551,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,0,1,1,1,-1,5,-1,-2,99999,East
0,1,1,1,1,0,6,-2,-3,99999,East
0,1,1,1,1,0,6,-3,-4,99999,South
1,1,1,1,1,-1,5,-4,-5,99999,South
1,1,1,1,1,-1,3,-5,-6,99999,South
1,1,1,0,1,-1,2,-6,-7,99999,South
1,1,1,1,1,-2,1,-7,-8,99999,South
1,1,1,1,1,-1,0,-8,-9,99999,South
1,1,1,1,1,-1,-1,-9,-10,99999,East
1,1,1,1,1,1,-1,-10,-11,99999,East
1,1,1,1,1,1,-1,-11,-12,99999,North
1,1,1,1,1,2,0,-12,187,99999,West
1,1,1,1,1,12,2,187,186,99999,West
1,1,1,1,1,10,2,186,185,99999,West
1,1,1,1,1,10,2,185,184,99999,West
1,1,1,1,1,10,2,184,183,99999,South
1,1,1,1,1,10,1,183,182,99999,West
1,1,1,1,1,9,0,182,181,99999,West
1,1,1,0,1,8,0,181,180,99999,South
1,0,1,1,1,8,-1,180,179,99999,West
0,0,1,1,1,7,0,179,178,99999,West
1,0,1,1,1,6,0,178,177,99999,West
1,0,1,1,1,4,0,177,176,99999,West
1,0,1,1,1,3,-1,176,175,99999,West
1,0,1,1,1,3,-1,175,174,99999,West
1,0,1,1,1,2,-1,174,173,99999,North
1,1,1,1,1,1,0,173,172,99999,North
1,1,1,1,1,2,1,172,171,99999,West
1,1,1,1,1,1,2,171,170,99999,West
1,1,1,1,1,0,1,170,369,99999,South
1,1,1,1,1,-7,-9,369,368,99999,South
1,0,1,1,1,-7,-11,368,367,99999,East
1,0,1,1,1,-6,-10,367,366,99999,North
1,1,1,1,1,-5,-9,366,365,99999,North
1,1,1,1,1,-5,-7,365,364,99999,North
1,1,1,1,1,-6,-6,364,363,99999,North
1,1,1,1,1,-5,-5,363,362,99999,North
1,1,1,1,1,-4,-4,362,361,99999,North
1,1,1,1,1,-8,-5,361,360,99999,North
1,1,1,1,1,-8,-4,360,359,99999,North
1,1,0,1,1,-8,-3,359,358,99999,North
1,1,0,1,1,-8,-2,358,357,99999,North
1,1,0,1,1,-9,-1,357,356,99999,North
0,1,1,1,1,-8,0,356,355,99999,East
0,0,1,1,1,-6,0,355,354,99999,East
0,0,1,1,1,-5,1,354,353,99999,East
0,0,1,1,1,-4,1,353,352,99999,East
0,0,1,1,1,-2,1,352,351,99999,East
0,1,1,1,1,-2,1,351,350,99999,East
0,1,1,1,1,-1,2,350,349,99999,South
1,1,1,1,1,-1,0,349,548,99999,East
1,1,0,1,1,2,1,548,547,99999,East
1,1,0,1,1,1,1,547,546,99999,South
1,1,1,1,1,-1,-2,0,-1,7,Stop
1,1,1,1,1,-1,-2,-1,-2,7,Stop
1,1,1,1,1,-1,-2,-2,-3,7,Stop
1,1,1,1,1,-1,-2,-3,-4,7,East
1,1,1,1,1,0,-2,-4,-5,6,East
1,1,1,1,1,1,-2,-5,-6,5,North
1,1,1,1,1,1,-1,-6,-7,6,North
1,1,1,1,1,1,0,-7,192,7,West
1,1,1,1,1,0,6,192,191,8,West
1,1,1,1,1,7,0,191,190,9,West
1,1,1,1,1,6,0,190,189,10,West
1,1,1,1,1,5,0,189,188,11,West
1,1,1,1,1,4,0,188,187,12,West
1,1,1,1,1,3,0,187,186,13,West
1,1,1,1,1,2,0,186,185,14,West
