@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R5

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,Stop
99999,99999,6,8,Stop
99999,99999,6,8,Stop
99999,99999,6,8,East
99999,5,5,7,East
99999,4,6,6,South
5,3,5,5,South
4,2,4,4,South
3,1,3,99999,South
2,2,2,0,West
99999,13,15,13,South
14,12,14,12,South
13,11,13,11,West
12,10,12,10,West
11,9,11,9,West
10,8,10,99999,Stop
10,8,10,99999,South
9,99999,9,7,Stop
9,99999,9,7,Stop
9,99999,9,7,West
99999,99999,8,6,West
5,99999,7,5,North
4,6,99999,4,North
3,5,99999,3,West
2,4,4,2,West
1,3,3,1,North
99999,2,2,0,West
99999,21,21,19,West
18,20,20,18,West
17,19,19,19,North
16,18,18,18,North
15,17,17,17,North
14,16,16,16,North
13,15,15,15,North
12,14,99999,14,North
11,13,99999,13,North
10,12,99999,12,North
99999,11,9,11,East
99999,99999,8,10,East
99999,99999,7,9,East
99999,99999,6,8,East
99999,99999,5,7,East
99999,4,6,6,South
5,3,5,99999,South
4,99999,4,2,West
99999,99999,3,1,West
99999,99999,2,0,West
99999,99999,7,99999,East
99999,99999,6,8,East
99999,99999,5,7,East
6,99999,4,6,East
5,99999,3,5,East
4,99999,2,4,East
99999,99999,1,3,East
99999,99999,6,8,Stop
99999,99999,7,9,Stop
99999,99999,6,8,East
99999,6,6,8,East
99999,5,7,7,East
7,5,7,5,South
7,5,7,5,South
7,5,7,5,South
5,3,5,3,South
4,2,4,2,South
2,4,4,2,West
2,2,2,0,West
16,14,16,14,West
16,14,16,14,West
14,12,14,12,South
14,12,14,12,West
13,11,13,99999,Stop
13,11,13,99999,South
11,99999,11,9,West
99999,99999,11,9,West
9,99999,11,9,West
7,99999,9,7,North
7,9,9,7,North
5,7,7,5,West
3,5,5,3,West
2,4,4,2,West
1,3,3,3,North
1,3,3,3,North
1,3,99999,1,North
13,15,15,13,North
11,13,13,11,West
11,13,13,13,West
12,14,12,14,North
10,12,10,12,North
9,11,9,11,North
9,11,9,11,North
7,9,7,9,East
6,8,99999,8,Stop
6,8,99999,8,Stop
5,7,99999,7,North
99999,6,4,6,East
99999,99999,2,4,East
99999,99999,2,4,East
99999,99999,1,3,East
99999,99999,1,3,East
99999,0,1,2,East
99999,2,4,2,South
2,0,2,2,West
4,2,2,99999,Stop
4,2,2,99999,South
2,99999,2,4,East
2,4,2,4,Stop
2,4,2,4,Stop
2,4,2,4,East
1,3,3,3,North
0,2,2,2,North
7,5,7,7,West
8,6,6,6,West
7,7,7,5,West
6,6,6,4,West
5,5,5,3,West
4,4,4,2,West
3,3,3,1,West
2,2,2,0,West
9,7,7,9,East
8,6,8,8,South
7,5,7,7,South
6,4,6,99999,South
5,3,5,3,South
4,2,4,2,South
3,1,3,1,South
2,2,2,0,South
1,3,3,1,East
2,4,4,2,East
3,5,5,3,North
4,4,4,2,West
3,3,3,1,West
2,2,2,0,West
9,9,7,9,East
8,8,6,8,East
7,7,5,7,East
6,6,4,6,East
5,5,3,5,East
4,4,2,4,East
3,3,1,3,East
2,4,2,4,Stop
2,4,2,4,Stop
1,3,1,3,Stop
0,2,2,2,East
2,4,4,2,North
4,2,4,2,West
3,1,3,1,West
3,1,1,3,West
5,3,3,4,South
4,2,2,4,East
2,0,2,2,East
4,2,4,2,South
7,5,6,5,South
5,4,4,5,West
5,4,4,5,West
5,6,6,5,West
5,7,7,5,West
5,5,5,3,West
4,4,4,2,West
4,2,4,2,North
3,2,4,2,West
99999,2,2,4,West
99999,4,4,6,South
6,4,4,6,East
6,4,4,6,East
4,4,2,4,East
3,3,1,3,East
2,2,0,2,East
5,6,6,5,East
6,6,6,6,North
6,8,8,6,North
4,6,6,4,North
4,6,6,4,North
3,5,5,3,West
2,4,4,2,North
4,4,4,2,North
99999,4,4,2,West
99999,3,3,1,West
99999,3,3,1,West
99999,1,3,1,West
99999,1,3,3,East
99999,3,5,3,East
99999,3,5,3,South
5,3,5,3,West
3,3,3,1,West
1,3,3,1,West
1,3,3,1,West
1,3,3,1,West
0,2,2,2,East
1,3,3,1,North
99999,3,3,1,West
99999,23,23,25,West
99999,23,23,99999,Stop
99999,22,22,99999,East
99999,22,22,24,East
