@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R21

@attribute pacPosX numeric
@attribute pacPosY numeric
@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute ghostPosX1 numeric
@attribute ghostPosY1 numeric
@attribute ghostPosX2 numeric
@attribute ghostPosY2 numeric
@attribute ghostPosX3 numeric
@attribute ghostPosY3 numeric
@attribute ghostPosX4 numeric
@attribute ghostPosY4 numeric
@attribute LivingGhost1 {0,1}
@attribute LivingGhost2 {0,1}
@attribute LivingGhost3 {0,1}
@attribute LivingGhost4 {0,1}
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,1,1,1,1,0,7,Stop
12,10,1,1,1,1,1,5,6,5,13,13,6,13,12,1,1,1,1,-1,7,Stop
12,10,1,1,1,1,1,5,7,5,13,13,5,13,12,1,1,1,1,-2,7,Stop
12,10,1,1,1,1,1,6,7,5,14,13,6,13,11,1,1,1,1,-3,7,Stop
12,10,1,1,1,1,1,5,7,6,14,12,6,14,11,1,1,1,1,-4,7,East
13,10,1,1,1,1,1,5,8,6,14,11,6,14,11,1,1,1,1,-5,6,North
13,11,1,1,1,1,1,6,8,6,13,10,6,14,10,1,1,1,1,-6,7,North
13,12,1,1,1,1,1,6,8,6,14,10,5,15,10,1,1,1,1,-7,8,North
13,13,1,1,1,1,1,6,7,6,14,11,5,15,10,1,1,1,1,-8,9,South
13,12,1,1,1,1,1,6,8,6,14,10,5,15,9,1,1,1,1,-9,8,South
13,11,1,1,1,1,1,5,8,6,13,10,5,14,9,1,1,1,1,-10,7,South
13,10,1,1,1,1,1,5,9,6,12,9,5,14,9,1,1,1,1,-11,6,South
13,9,1,1,1,1,1,5,9,6,12,9,5,7,1,1,1,1,0,188,5,East
14,9,1,1,1,1,1,4,9,6,11,9,5,7,1,1,1,1,0,187,4,East
15,9,1,1,1,1,1,4,8,6,12,10,5,7,1,1,1,1,0,186,3,South
15,8,1,1,1,1,1,4,9,5,12,11,5,7,1,1,1,1,0,185,4,South
15,7,1,1,1,1,1,4,8,5,12,10,5,7,1,1,1,1,0,184,5,South
15,6,1,1,1,1,1,5,8,6,12,10,6,7,1,1,1,1,0,183,6,South
15,5,1,1,1,1,1,4,8,6,12,9,6,7,1,1,1,1,0,182,7,West
14,5,1,1,1,1,1,5,8,6,12,10,6,7,1,1,1,1,0,181,8,West
13,5,1,1,1,1,1,5,8,6,13,10,6,7,1,1,1,1,0,180,9,West
12,5,1,1,1,1,1,5,8,6,13,11,6,7,1,1,1,1,0,179,10,West
11,5,1,1,1,1,1,5,9,6,13,11,6,7,1,1,1,1,0,178,11,West
10,5,1,1,1,1,1,5,8,6,13,10,6,7,1,1,1,1,0,177,12,North
10,6,1,1,1,1,1,6,8,6,12,5,1,7,1,1,1,0,0,376,11,North
10,7,1,1,1,1,1,6,7,6,12,5,1,7,1,1,1,0,0,375,10,North
10,8,1,1,1,1,1,6,6,6,11,5,1,7,1,1,1,0,0,374,9,West
9,8,1,1,1,1,1,7,6,7,11,5,1,7,1,1,1,0,0,373,10,West
8,8,1,1,1,1,1,8,6,7,12,5,1,7,1,1,1,0,0,372,11,West
7,8,1,1,1,1,1,8,5,7,12,5,1,7,1,1,1,0,0,371,12,South
7,7,1,1,1,1,1,9,5,7,12,5,1,7,1,1,1,0,0,370,13,South
