@RELATION 'training_newmap'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
0,0,1,1,1,-1,4,0,-1,99999,East
0,1,1,1,1,1,4,-1,-2,99999,East
0,1,1,1,1,1,4,-2,-3,99999,South
1,1,1,1,1,0,3,-3,-4,99999,South
1,1,1,1,1,0,1,-4,195,99999,South
1,1,1,0,1,11,3,195,194,99999,East
1,1,1,1,1,4,-5,194,193,99999,North
1,1,1,1,1,4,-4,193,192,99999,North
1,1,1,1,1,3,-3,192,191,99999,North
1,1,1,1,1,3,-2,191,190,99999,North
1,1,1,0,1,4,-1,190,189,99999,North
1,1,1,0,1,4,0,189,188,99999,North
1,1,1,0,1,4,1,188,187,99999,North
0,1,1,1,1,5,2,187,186,99999,West
0,0,1,1,1,5,2,186,185,99999,West
0,0,1,1,1,3,2,185,184,99999,West
0,0,1,1,1,2,2,184,183,99999,West
0,0,1,1,1,2,2,183,182,99999,West
0,1,1,1,1,2,2,182,181,99999,West
0,1,1,1,1,1,2,181,180,99999,West
0,1,1,1,1,0,2,180,379,99999,South
1,1,1,0,1,0,1,379,578,99999,South
1,0,1,1,1,7,7,578,577,99999,North
1,1,1,0,1,7,8,577,576,99999,North
0,1,1,1,1,6,9,576,575,99999,West
0,0,1,1,1,5,8,575,574,99999,West
0,0,1,1,1,3,8,574,573,99999,West
0,0,1,1,1,2,8,573,572,99999,West
0,0,1,1,1,1,8,572,571,99999,West
0,1,1,1,1,0,8,571,570,99999,South
1,1,0,1,1,-1,7,570,569,99999,South
1,1,0,1,1,-1,7,569,568,99999,South
1,1,0,1,1,-1,6,568,567,99999,South
1,1,1,1,1,-2,5,567,566,99999,East
0,1,1,1,1,-1,6,566,565,99999,South
1,1,1,1,1,-2,5,565,564,99999,South
1,1,1,1,1,-2,5,564,563,99999,South
1,1,0,1,1,-1,4,563,562,99999,South
1,1,1,1,1,-1,3,562,561,99999,East
0,1,1,1,1,0,3,561,560,99999,South
1,1,1,1,1,-1,2,560,559,99999,East
1,1,1,1,1,1,2,559,558,99999,West
1,1,1,1,1,1,2,558,557,99999,West
1,1,1,1,1,0,2,557,556,99999,South
1,1,1,1,1,-1,1,556,555,99999,East
1,1,1,1,1,-1,1,555,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,4,-1,-2,99999,East
0,1,1,1,1,0,4,-2,-3,99999,South
1,1,1,1,1,0,4,-3,-4,99999,South
1,1,1,1,1,1,3,-4,-5,99999,South
1,1,1,0,1,1,1,-5,-6,99999,South
1,1,1,1,1,2,0,-6,-7,99999,West
0,1,1,1,1,1,1,-7,192,99999,West
0,1,1,1,1,7,1,192,191,99999,West
0,1,1,1,1,6,1,191,190,99999,West
0,1,1,0,1,5,0,190,189,99999,South
1,1,1,0,1,5,-1,189,188,99999,South
1,1,1,0,1,6,-2,188,187,99999,South
1,0,1,1,1,6,-4,187,186,99999,West
0,0,1,1,1,5,-3,186,185,99999,West
1,0,1,1,1,4,-3,185,184,99999,West
1,0,1,1,1,3,-2,184,183,99999,West
1,0,1,1,1,3,-2,183,182,99999,West
1,0,1,1,1,2,-1,182,181,99999,West
1,0,1,1,1,2,-1,181,180,99999,West
1,0,1,1,1,1,-1,180,179,99999,West
1,0,1,1,1,0,-1,179,378,99999,North
1,1,1,1,1,-6,-8,378,377,99999,East
1,1,1,1,1,-7,-9,377,376,99999,North
1,1,1,1,1,-7,-8,376,375,99999,North
1,1,1,1,1,-7,-8,375,374,99999,North
1,1,1,1,1,-6,-7,374,373,99999,North
1,1,1,1,1,-7,-6,373,372,99999,North
1,1,1,1,1,-6,-5,372,371,99999,North
1,1,1,1,1,-5,-4,371,370,99999,North
1,1,0,1,1,-4,-3,370,369,99999,North
1,1,0,1,1,-3,-2,369,368,99999,North
1,1,0,1,1,-3,-1,368,367,99999,North
0,1,1,1,1,-2,0,367,566,99999,East
