@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R5-6-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,East
99999,5,5,7,South
6,4,4,99999,South
5,99999,3,5,East
4,2,4,4,South
3,1,3,99999,South
2,2,2,0,West
99999,13,15,13,South
14,12,14,12,South
13,11,13,11,South
12,99999,12,10,West
11,99999,11,9,West
10,99999,10,8,West
9,99999,9,7,West
99999,99999,8,6,West
5,99999,7,5,North
4,6,99999,4,North
3,5,99999,3,North
99999,4,99999,2,West
99999,3,3,1,West
99999,2,2,0,West
99999,21,21,19,West
18,20,20,18,North
17,19,99999,17,North
16,18,18,16,North
15,17,17,15,North
99999,16,16,14,West
13,15,15,15,North
12,14,99999,14,North
11,13,99999,13,North
10,12,99999,12,North
99999,11,9,11,East
99999,99999,8,10,East
99999,99999,7,9,East
99999,99999,5,7,East
99999,4,6,6,South
5,3,5,99999,South
4,99999,4,2,West
99999,99999,3,1,West
99999,99999,2,0,West
99999,99999,7,99999,East
6,99999,4,6,East
4,99999,2,4,East
99999,99999,1,3,East
5,3,3,99999,South
5,3,3,5,South
4,2,2,4,South
2,4,2,4,North
2,2,0,2,East
16,14,16,14,South
15,13,15,13,South
7,99999,7,5,West
99999,99999,5,3,West
3,99999,5,3,North
3,3,99999,1,West
19,21,21,19,North
99999,20,20,18,West
99999,18,18,16,West
14,16,16,14,North
13,15,99999,13,North
13,15,15,13,North
11,13,13,11,North
99999,11,11,9,West
9,11,11,11,North
9,11,99999,11,North
8,10,99999,10,North
99999,8,6,8,East
99999,99999,4,6,East
99999,3,3,5,South
4,3,3,99999,South
3,99999,1,3,East
99999,99999,6,4,West
3,99999,5,5,North
3,5,99999,5,North
99999,4,2,4,East
1,3,1,3,North
7,5,7,7,South
6,4,6,6,South
5,3,5,5,South
3,1,3,3,South
2,0,2,2,South
9,9,9,7,West
8,8,8,6,West
7,7,7,5,West
6,6,6,4,West
5,5,5,3,West
4,4,4,2,West
3,3,3,1,West
7,9,7,9,North
6,8,6,8,North
5,7,5,7,North
99999,6,4,6,East
3,5,5,5,North
2,4,4,99999,North
1,3,3,1,North
3,3,1,3,East
3,1,1,3,South
7,5,5,7,South
13,13,13,11,West
10,11,12,10,North
10,12,12,10,North
9,11,11,9,North
11,11,11,9,West
99999,9,9,7,West
99999,7,7,5,West
99999,5,5,3,West
99999,4,4,2,West
99999,14,16,16,South
14,12,14,14,South
12,10,12,12,South
11,9,11,11,South
10,8,10,99999,South
9,7,9,7,South
8,6,8,6,South
6,4,6,4,South
5,3,5,3,South
4,2,4,2,South
99999,11,11,13,South
12,10,10,12,East
11,9,9,11,East
10,8,8,10,East
9,7,7,9,South
8,6,6,8,South
7,5,5,7,East
6,4,4,6,East
5,3,3,5,East
3,1,1,3,East
7,5,7,5,West
5,3,5,3,West
18,99999,18,20,East
17,99999,17,19,North
16,18,16,18,East
15,17,15,17,East
14,16,14,16,North
13,15,13,15,North
12,14,12,14,North
11,13,11,13,North
10,12,10,12,North
9,11,9,11,North
8,10,8,10,North
99999,7,5,7,East
99999,5,3,5,East
99999,3,1,3,East
99999,2,0,2,East
99999,5,5,7,East
99999,4,4,6,South
4,2,2,4,East
6,5,5,7,South
6,4,4,6,South
2,99999,2,4,North
4,4,2,4,East
5,5,3,5,East
8,10,8,10,East
7,9,7,9,East
5,7,7,7,North
5,7,7,5,North
3,5,3,5,North
99999,6,6,99999,South
7,5,99999,99999,South
6,6,4,99999,East
2,4,99999,4,North
99999,99999,0,2,East
99999,99999,10,11,East
99999,99999,9,11,East
99999,8,8,10,South
9,7,7,99999,South
8,7,6,7,East
7,99999,5,7,East
4,99999,2,99999,East
10,8,99999,99999,South
99999,8,8,6,West
99999,99999,7,5,West
99999,6,6,4,West
6,6,99999,99999,North
99999,7,5,99999,East
99999,99999,3,5,East
4,2,99999,4,South
99999,2,2,4,South
10,8,8,8,South
9,7,7,8,South
9,7,7,7,East
8,6,99999,8,South
6,6,4,6,East
4,99999,4,99999,North
15,99999,17,15,North
15,15,15,13,West
99999,15,15,13,West
99999,99999,14,12,West
99999,10,12,10,South
10,8,99999,8,South
10,99999,99999,8,West
8,99999,8,6,West
5,99999,5,3,West
3,99999,3,1,West
1,99999,3,1,North
99999,99999,29,30,East
28,99999,30,30,North
27,29,99999,99999,North
99999,28,26,99999,East
99999,99999,25,27,East
99999,99999,24,26,East
23,99999,99999,25,North
22,24,99999,99999,North
21,23,99999,99999,North
99999,22,20,22,East
99999,99999,19,21,East
99999,99999,18,20,East
17,19,99999,19,North
16,18,99999,99999,North
15,17,99999,99999,North
14,16,16,14,West
99999,99999,15,13,West
12,99999,14,14,North
11,13,99999,99999,North
9,11,99999,99999,North
8,10,10,99999,North
7,9,99999,99999,North
99999,8,99999,6,West
99999,1,3,2,South
2,0,99999,1,South
2,99999,2,0,West
4,99999,3,2,West
99999,99999,6,99999,East
28,30,99999,99999,North
99999,29,27,99999,East
99999,99999,27,29,East
25,99999,99999,27,North
24,26,99999,99999,North
99999,23,21,23,East
14,16,99999,99999,North
13,15,15,13,West
10,99999,12,12,North
6,8,8,99999,North
5,7,99999,99999,North
99999,7,99999,5,West
99999,1,3,1,South
2,0,99999,2,South
3,99999,1,2,East
