@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R9

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
0,0,1,1,1,-1,4,0,99999,East
0,1,1,1,1,0,4,-1,99999,East
0,1,1,1,1,1,4,-2,99999,South
1,1,1,1,1,1,3,-3,99999,South
1,1,1,1,1,1,2,-4,99999,South
1,1,1,0,1,1,1,-5,99999,South
1,1,1,1,1,1,0,-6,99999,West
0,1,1,1,1,8,0,193,99999,West
0,1,1,1,1,7,0,192,99999,West
0,1,1,1,1,6,0,191,99999,West
0,1,1,0,1,5,0,190,99999,South
1,1,1,0,1,5,-1,189,99999,South
1,1,1,0,1,5,-2,188,99999,South
1,0,1,1,1,5,-3,187,99999,West
0,0,1,1,1,4,-3,186,99999,West
1,0,1,1,1,3,-3,185,99999,West
1,0,1,1,1,2,-3,184,99999,West
1,0,1,1,1,1,-3,183,99999,West
1,0,1,1,1,0,-3,182,99999,North
1,1,1,1,1,0,-2,181,99999,North
1,1,1,1,1,0,-1,180,99999,North
0,1,1,1,1,0,-6,379,99999,West
1,1,1,1,1,-1,-6,378,99999,West
1,1,1,1,1,-2,-6,377,99999,North
1,1,1,1,1,-2,-5,376,99999,North
1,1,1,1,1,-2,-4,375,99999,North
1,1,1,1,1,-2,-3,374,99999,North
1,1,1,1,1,-2,-2,373,99999,North
1,1,0,1,1,-2,-1,372,99999,North
1,1,0,1,1,-2,0,371,99999,North
1,1,0,1,1,-2,1,370,99999,North
0,1,1,1,1,-2,2,369,99999,East
0,0,1,1,1,-1,2,368,99999,East
0,0,1,1,1,0,2,367,99999,East
0,0,1,1,1,1,2,366,99999,East
0,0,1,1,1,2,2,365,99999,East
0,1,1,1,1,3,2,364,99999,South
1,1,1,0,1,3,1,363,99999,South
1,0,1,1,1,3,0,362,99999,West
0,0,1,1,1,2,0,361,99999,West
0,0,1,1,1,1,0,360,99999,West
0,0,1,0,1,-8,0,559,99999,East
0,0,1,1,1,-7,0,558,99999,East
0,0,1,1,1,-6,0,557,99999,East
1,0,1,1,1,-5,0,556,99999,East
1,0,1,1,1,-4,0,555,99999,East
1,0,1,1,1,-3,0,554,99999,East
0,0,1,1,1,-2,0,553,99999,East
0,0,1,1,1,-1,4,0,99999,East
0,1,1,1,1,1,4,-1,99999,East
0,1,1,1,1,3,4,-2,99999,South
1,1,1,1,1,3,4,-3,99999,South
1,1,1,1,1,3,4,-4,99999,South
1,1,1,0,1,2,3,-5,99999,South
1,1,1,1,1,3,2,-6,99999,West
0,1,1,1,1,1,2,-7,99999,West
0,1,1,1,1,0,3,-8,99999,South
1,1,1,1,1,0,1,-9,99999,South
1,1,1,1,1,10,0,190,99999,West
1,1,1,1,1,9,1,189,99999,West
1,1,1,0,1,8,1,188,99999,South
1,0,1,1,1,8,-1,187,99999,West
0,0,1,1,1,7,0,186,99999,West
1,0,1,1,1,6,0,185,99999,West
1,0,1,1,1,4,0,184,99999,West
1,0,1,1,1,4,0,183,99999,West
1,0,1,1,1,4,0,182,99999,West
1,0,1,1,1,3,0,181,99999,West
1,0,1,1,1,2,-1,180,99999,West
1,0,1,1,1,0,-1,179,99999,North
1,1,1,1,1,-6,-10,378,99999,East
1,1,1,1,1,-6,-10,377,99999,North
1,1,1,1,1,-5,-9,376,99999,North
