@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
0,0,1,1,1,0.56,0.8,0.002269,1,East
0,1,1,1,1,0.6,0.8,0.002017,1,East
0,1,1,1,1,0.64,0.8,0.001765,1,South
1,1,1,1,1,0.64,0.75,0.001513,1,South
1,1,1,1,1,0.64,0.7,0.001261,1,South
1,1,1,0,1,0.64,0.65,0.001009,1,South
1,1,1,1,1,0.64,0.6,0.000756,1,West
0,1,1,1,1,0.92,0.6,0.050933,1,West
0,1,1,1,1,0.88,0.6,0.050681,1,West
0,1,1,1,1,0.84,0.6,0.050429,1,West
0,1,1,0,1,0.8,0.6,0.050177,1,South
1,1,1,0,1,0.8,0.55,0.049924,1,South
1,1,1,0,1,0.8,0.5,0.049672,1,South
1,0,1,1,1,0.8,0.45,0.04942,1,West
0,0,1,1,1,0.76,0.45,0.049168,1,West
1,0,1,1,1,0.72,0.45,0.048916,1,West
1,0,1,1,1,0.68,0.45,0.048664,1,West
1,0,1,1,1,0.64,0.45,0.048411,1,West
1,0,1,1,1,0.6,0.45,0.048159,1,North
1,1,1,1,1,0.6,0.5,0.047907,1,North
1,1,1,1,1,0.6,0.55,0.047655,1,North
0,1,1,1,1,0.6,0.3,0.097832,1,West
1,1,1,1,1,0.56,0.3,0.097579,1,West
1,1,1,1,1,0.52,0.3,0.097327,1,North
1,1,1,1,1,0.52,0.35,0.097075,1,North
1,1,1,1,1,0.52,0.4,0.096823,1,North
1,1,1,1,1,0.52,0.45,0.096571,1,North
1,1,1,1,1,0.52,0.5,0.096319,1,North
1,1,0,1,1,0.52,0.55,0.096067,1,North
1,1,0,1,1,0.52,0.6,0.095814,1,North
1,1,0,1,1,0.52,0.65,0.095562,1,North
0,1,1,1,1,0.52,0.7,0.09531,1,East
0,0,1,1,1,0.56,0.7,0.095058,1,East
0,0,1,1,1,0.6,0.7,0.094806,1,East
0,0,1,1,1,0.64,0.7,0.094554,1,East
0,0,1,1,1,0.68,0.7,0.094302,1,East
0,1,1,1,1,0.72,0.7,0.094049,1,South
1,1,1,0,1,0.72,0.65,0.093797,1,South
1,0,1,1,1,0.72,0.6,0.093545,1,West
0,0,1,1,1,0.68,0.6,0.093293,1,West
0,0,1,1,1,0.64,0.6,0.093041,1,West
0,0,1,0,1,0.28,0.6,0.143217,1,East
0,0,1,1,1,0.32,0.6,0.142965,1,East
0,0,1,1,1,0.36,0.6,0.142713,1,East
1,0,1,1,1,0.4,0.6,0.142461,1,East
1,0,1,1,1,0.44,0.6,0.142209,1,East
1,0,1,1,1,0.48,0.6,0.141957,1,East
0,0,1,1,1,0.52,0.6,0.141704,1,East
0,0,1,1,1,0.56,0.8,0.002269,1,East
0,1,1,1,1,0.64,0.8,0.002017,1,East
0,1,1,1,1,0.72,0.8,0.001765,1,South
1,1,1,1,1,0.72,0.8,0.001513,1,South
1,1,1,1,1,0.72,0.8,0.001261,1,South
1,1,1,0,1,0.68,0.75,0.001009,1,South
1,1,1,1,1,0.72,0.7,0.000756,1,West
0,1,1,1,1,0.64,0.7,0.000504,1,West
0,1,1,1,1,0.6,0.75,0.000252,1,South
1,1,1,1,1,0.6,0.65,0,1,South
1,1,1,1,1,1,0.6,0.050177,1,West
1,1,1,1,1,0.96,0.65,0.049924,1,West
1,1,1,0,1,0.92,0.65,0.049672,1,South
1,0,1,1,1,0.92,0.55,0.04942,1,West
0,0,1,1,1,0.88,0.6,0.049168,1,West
1,0,1,1,1,0.84,0.6,0.048916,1,West
1,0,1,1,1,0.76,0.6,0.048664,1,West
1,0,1,1,1,0.76,0.6,0.048411,1,West
1,0,1,1,1,0.76,0.6,0.048159,1,West
1,0,1,1,1,0.72,0.6,0.047907,1,West
