@RELATION 'training_tutorial1_score5'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,-5,99999,East
99999,5,5,7,-1,-6,99999,South
6,4,4,99999,-2,193,99999,South
5,99999,3,5,-3,192,99999,East
4,2,4,4,-4,191,99999,South
3,1,3,99999,-5,190,99999,South
2,2,2,0,-6,189,99999,West
99999,13,15,13,193,188,99999,South
14,12,14,12,192,187,99999,South
13,11,13,11,191,186,99999,South
12,99999,12,10,190,185,99999,West
11,99999,11,9,189,184,99999,West
10,99999,10,8,188,183,99999,West
9,99999,9,7,187,182,99999,West
99999,99999,8,6,186,181,99999,West
5,99999,7,5,185,180,99999,North
4,6,99999,4,184,379,99999,North
3,5,99999,3,183,378,99999,North
99999,4,99999,2,182,377,99999,West
99999,3,3,1,181,376,99999,West
99999,2,2,0,180,375,99999,West
99999,21,21,19,379,374,99999,West
18,20,20,18,378,373,99999,North
17,19,99999,17,377,372,99999,North
16,18,18,16,376,371,99999,North
15,17,17,15,375,370,99999,North
99999,16,16,14,374,369,99999,West
13,15,15,15,373,368,99999,North
12,14,99999,14,372,367,99999,North
11,13,99999,13,371,366,99999,North
10,12,99999,12,370,365,99999,North
99999,11,9,11,369,364,99999,East
99999,99999,8,10,368,363,99999,East
99999,99999,7,9,367,362,99999,East
99999,99999,6,8,366,361,99999,East
99999,99999,5,7,365,360,99999,East
99999,4,6,6,364,559,99999,South
5,3,5,99999,363,558,99999,South
4,99999,4,2,362,557,99999,West
99999,99999,3,1,361,556,99999,West
99999,99999,2,0,360,555,99999,West
99999,99999,7,99999,559,554,99999,East
99999,99999,6,8,558,553,99999,East
99999,99999,5,7,557,552,99999,East
99999,99999,6,8,0,-5,99999,East
99999,5,5,7,-1,-6,99999,South
7,5,5,99999,-2,-7,99999,South
6,99999,4,6,-3,-8,99999,East
6,4,6,6,-4,-9,99999,South
4,2,4,99999,-5,190,99999,South
4,2,4,2,-6,189,99999,South
3,3,3,1,-7,188,99999,West
3,1,3,1,-8,187,99999,South
3,3,3,1,-9,186,99999,West
12,10,12,10,190,185,99999,South
12,99999,12,10,189,184,99999,West
12,99999,12,10,188,183,99999,West
12,99999,12,10,187,182,99999,West
99999,99999,12,10,186,181,99999,West
9,99999,11,9,185,180,99999,North
7,9,99999,7,184,179,99999,North
7,7,99999,5,183,178,99999,West
5,7,7,5,182,177,99999,North
99999,7,7,5,181,176,99999,West
99999,5,7,5,180,175,99999,South
6,6,6,4,179,174,99999,West
4,6,6,4,178,173,99999,North
99999,5,5,3,177,172,99999,West
4,4,4,2,176,171,99999,West
2,4,4,2,175,170,99999,North
2,4,4,2,174,169,99999,North
3,3,3,1,173,368,99999,West
3,1,3,1,172,367,99999,South
1,3,3,1,171,366,99999,North
3,1,3,1,170,365,99999,South
2,2,2,0,169,364,99999,West
16,18,16,99999,368,363,99999,North
14,16,14,99999,367,362,99999,North
14,16,14,99999,366,361,99999,North
14,16,14,99999,365,360,99999,North
13,15,13,99999,364,359,99999,North
11,13,11,99999,363,358,99999,North
9,11,9,99999,362,357,99999,North
99999,10,8,99999,361,356,99999,East
99999,9,7,9,360,355,99999,East
99999,8,6,8,359,354,99999,East
99999,99999,6,8,358,353,99999,East
99999,99999,6,8,357,352,99999,East
99999,99999,4,6,356,351,99999,East
99999,99999,3,5,355,550,99999,East
2,4,2,4,0,195,7,North
1,3,1,3,-1,194,8,North
2,2,0,2,-2,193,9,East
7,5,7,7,197,192,8,South
6,4,6,6,196,391,7,South
5,3,5,5,195,390,6,South
4,2,4,4,194,389,5,South
3,1,3,3,193,388,6,South
2,0,2,2,192,387,7,South
9,9,9,7,391,386,8,West
8,8,8,6,390,385,9,West
7,7,7,5,389,384,10,West
6,6,6,4,388,583,11,West
5,5,5,3,387,582,12,West
4,4,4,2,386,581,13,West
3,3,3,1,385,580,14,West
2,2,2,0,384,579,15,West
7,9,7,9,583,578,16,North
6,8,6,8,582,577,15,North
5,7,5,7,581,576,14,North
2,4,2,4,0,195,7,North
1,3,1,3,-1,194,8,North
2,2,0,2,-2,193,9,East
7,5,5,6,197,192,8,South
6,4,4,6,196,191,7,South
6,4,4,6,195,390,6,South
4,2,2,4,194,389,5,South
4,2,2,4,193,388,6,South
4,4,2,4,192,387,7,East
2,2,0,2,191,386,6,East
11,12,13,11,390,385,5,North
9,11,11,9,389,384,4,North
7,9,9,7,388,383,3,North
7,7,7,5,387,382,4,West
7,5,7,5,386,381,5,South
5,5,5,3,385,380,4,West
3,5,5,3,384,379,5,North
5,3,5,3,383,578,6,South
3,5,5,3,382,577,5,North
3,3,3,1,381,576,6,West
3,1,3,1,380,575,7,South
1,3,3,1,379,574,6,North
12,10,12,10,578,573,7,South
12,10,12,10,577,572,6,South
12,10,12,10,576,571,7,South
12,10,12,10,575,570,8,South
11,11,11,9,574,569,9,West
9,9,9,7,573,568,10,West
8,8,8,6,572,567,11,West
8,8,8,6,571,566,12,West
8,8,8,6,570,565,13,West
8,6,8,6,569,564,14,South
6,6,6,4,568,563,15,West
6,6,6,4,567,562,16,West
4,6,6,4,566,561,17,North
4,6,6,4,565,560,16,North
4,4,4,2,564,559,15,West
99999,11,11,13,0,395,2,South
12,10,10,12,-1,494,1,East
11,9,9,11,98,593,1,East
10,8,8,10,197,692,1,East
9,7,7,9,296,791,1,South
8,6,6,8,395,890,1,South
7,5,5,7,494,989,1,East
6,4,4,6,593,1188,1,East
5,3,3,5,692,1287,1,East
4,2,2,4,791,1386,1,South
3,1,1,3,890,1485,1,East
2,0,2,2,989,1484,1,South
7,5,7,5,1188,1483,1,West
6,4,6,4,1287,1682,1,South
5,3,5,3,1386,1781,1,West
4,2,4,4,1485,1880,1,South
3,1,3,3,1484,1979,1,South
2,0,2,2,1483,2078,1,South
18,99999,18,20,1682,2177,1,East
17,99999,17,19,1781,2176,1,North
16,18,16,18,1880,2275,1,East
15,17,15,17,1979,2374,1,East
14,16,14,16,2078,2373,1,North
13,15,13,15,2177,2472,1,North
12,14,12,14,2176,2571,1,North
11,13,11,13,2275,2570,1,North
10,12,10,12,2374,2569,2,North
9,11,9,11,2373,2568,1,North
8,10,8,10,2472,2567,1,North
7,9,7,9,2571,2566,1,North
99999,8,6,8,2570,2665,2,East
99999,7,5,7,2569,2764,3,East
99999,6,4,6,2568,2963,2,East
99999,5,3,5,2567,3062,1,East
99999,4,2,4,2566,3161,1,East
99999,3,1,3,2665,3260,1,East
99999,2,0,2,2764,3359,2,East
99999,5,5,7,2963,3458,1,East
99999,11,11,13,0,395,2,South
13,11,11,13,-1,494,1,East
11,9,9,11,98,593,1,East
10,8,8,10,197,692,1,East
9,7,7,9,296,791,1,South
8,6,6,8,395,890,1,South
6,4,6,6,494,889,1,South
6,4,6,4,593,988,1,West
6,4,6,6,692,1087,1,South
6,4,6,4,791,1386,1,West
5,3,5,5,890,1485,1,South
5,3,3,5,889,1584,1,South
3,1,1,3,988,1683,1,East
2,0,2,2,1087,1782,1,South
10,12,10,12,1386,1881,1,East
8,10,8,10,1485,1980,1,North
6,8,6,8,1584,2079,1,North
8,8,6,8,1683,2078,1,East
8,8,6,8,1782,2077,1,East
6,8,6,8,1881,2076,1,East
6,8,6,8,1980,2175,1,North
8,6,6,8,2079,2174,1,South
6,6,4,6,2078,2173,1,East
